curated_family,family,source_resource,source_sheet,enzyme_full_name,enzyme_common_name,species,substrate,product,text
Aminotransferase,543|Enterobacteriaceae,Aminotransferase_Minimally_Curated_Set.xlsx,NewIDs,SAR DEFICIENT 4,SARD4,Escherichia coli,D1-piperideine-2-carboxylic acid (P2C),pipecolic acid (Pip),SAR DEFICIENT 4 SARD4   Escherichia coli   D1-piperideine-2-carboxylic acid (P2C) pipecolic acid (Pip) Characterization of a Pipecolic Acid Biosynthesis Pathway Required for Systemic Acquired Resistance. 10.1105/tpc.16.00486  AT5G52810  pass 2|Bacteria AT5G52810|PF02423;OCD_Mu_crystall;1|AT5G52810|IPR036291;NAD(P)-bd_dom_sf;IPR003462;ODC_Mu_crystall;IPR023401;ODC_N|SARD4|PF02423;OCD_Mu_crystall;1|SARD4|IPR036291;NAD(P)-bd_dom_sf;IPR003462;ODC_Mu_crystall;IPR023401;ODC_N SARD4_ARATH|A0A9Q0F438_9ROSI Q9FLY0|Q84W61|Q8LFS5|A0A9Q0F438 NP_200093.1|NP_200093| NM_124659.2|NM_124659| Arabidopsis_thaliana|Turnera_subulata
Aminotransferase,3803|Fabaceae,Aminotransferase_Minimally_Curated_Set.xlsx,NewIDs,Aspartate aminotransferase isoform 2b,AAT-2b,Medicago sativa,Aspartate;a-ketoglutarate,Oxaloacetate;Glutamate,Aspartate aminotransferase isoform 2b AAT-2b   Medicago sativa   Aspartate;a-ketoglutarate Oxaloacetate;Glutamate Aspartate aminotransferase in alfalfa root nodules : I. Purification and partial characterization. 10.1104/pp.90.4.1622    pass 33090|Viridiplantae AAT-2B|NA
Aminotransferase,3051|Chlamydomonadaceae,Aminotransferase_Minimally_Curated_Set.xlsx,NewIDs,glutamate-1-semialdehyde aminotransferase,GSA aminotransferase,Chlamydomonas reinhardtii,glutamate; glutamate-1-semialdehyde; Glutamate-1-semialdehyde,d-aminolevulinic acid; d-Aminolevulinic acid,glutamate-1-semialdehyde aminotransferase GSA aminotransferase   Chlamydomonas reinhardtii   glutamate; glutamate-1-semialdehyde; Glutamate-1-semialdehyde d-aminolevulinic acid; d-Aminolevulinic acid Identification of an intermediate of delta-aminolevulinate biosynthesis in Chlamydomonas by high-performance liquid chromatography. 10.1016/0003-9861(87)90295-5    pass 33090|Viridiplantae GSAAMINOTRANSFERASE|NA
Aminotransferase,1804623|Chenopodiaceae,Aminotransferase_Minimally_Curated_Set.xlsx,NewIDs,tryptophan:glyoxylate aminotransferase,TGA,Spinacia oleracea,L-alanine; glyoxylate,,tryptophan:glyoxylate aminotransferase TGA   Spinacia oleracea   L-alanine; glyoxylate  Peroxisomal localization and properties of tryptophan aminotransferase in plant leaves.     pass_noDOI 33090|Viridiplantae TGA|PF00170;bZIP_1;1;PF14144;DOG1;1 C9DID8_CAPAN C9DID8 NP_001311542.1|NP_001311542 NM_001324613.1|NM_001324613 Capsicum_annuum
Aminotransferase,3700|Brassicaceae,Aminotransferase_Minimally_Curated_Set.xlsx,NewIDs,Bifunctional enzyme Dethiobiotin synthetaseâ€“Diaminopelargonic acid aminotransferase,BIO3-BIO1,Arabidopsis thaliana,7-keto-8-aminopelargonic acid; S-adenosyl-L-Met; CO2; ATP,dethiobiotin,Bifunctional enzyme Dethiobiotin synthetaseâ€“Diaminopelargonic acid aminotransferase BIO3-BIO1   Arabidopsis thaliana   7-keto-8-aminopelargonic acid; S-adenosyl-L-Met; CO2; ATP dethiobiotin Biochemical and structural characterization of the Arabidopsis bifunctional enzyme dethiobiotin synthetase-diaminopelargonic acid aminotransferase: evidence for substrate channeling in biotin synthesis. 10.1105/tpc.112.097675    pass 33090|Viridiplantae BIO3-BIO1|PF13500;AAA_26;1;PF00202;Aminotran_3;2|BIO3-BIO1|IPR005814;Aminotrans_3;IPR049704;Aminotrans_3_PPA_site;IPR004472;DTB_synth_BioD;IPR027417;P-loop_NTPase;IPR015424;PyrdxlP-dep_Trfase;IPR015421;PyrdxlP-dep_Trfase_major;IPR015422;PyrdxlP-dep_Trfase_small|BIO3-BIO1|PF00202;Aminotran_3;1|BIO3-BIO1|PF13500;AAA_26;1;PF00202;Aminotran_3;1|BIO3-BIO1|PF00202;Aminotran_3;2 BIODA_ARATH|BIODA_ORYSJ|A0A371FUV9_MUCPR|A0A2I0A502_9ASPA|A0A1J6HWZ0_NICAT|A0A2I0W5V8_9ASPA B0F481|B0F482|Q681L5|Q6NQL9|Q9FKL4|Q9FKL5|Q6ZKV8|A0A0P0XDC2|A0A371FUV9|A0A2I0A502|A0A1J6HWZ0|A0A2I0W5V8 NP_200567.2|NP_200567|XP_015650723.1|XP_015650723||XP_019256199.1|XP_019256199 NM_125140.4|NM_125140|XM_015795237.1|XM_015795237||XM_019400654.1|XM_019400654 Arabidopsis_thaliana|Oryza_sativa_subsp._japonica|Mucuna_pruriens|Apostasia_shenzhenica|Nicotiana_attenuata|Dendrobium_catenatum
Aminotransferase,3700|Brassicaceae,Aminotransferase_Minimally_Curated_Set.xlsx,NewIDs,LL-Diaminopimelate aminotransferase,AtDAP-AT,Arabidopsis thaliana,L-tetrahydrodipicolinic acid; L-glutamate,LL-Diaminopimelate,LL-Diaminopimelate aminotransferase AtDAP-AT   Arabidopsis thaliana   L-tetrahydrodipicolinic acid; L-glutamate LL-Diaminopimelate Mechanism of substrate recognition and PLP-induced conformational changes in LL-diaminopimelate aminotransferase from Arabidopsis thaliana. 10.1016/j.jmb.2008.10.022    pass 33090|Viridiplantae ATDAP-AT|NA
Aminotransferase,3700|Brassicaceae,Aminotransferase_Minimally_Curated_Set.xlsx,NewIDs,Glutamate:glyoxylate aminotransferase 2,GGAT2,Arabidopsis thaliana,alanine; glutamate; glyoxylate,pyruvate; 2-oxoglutarate; glycine,Glutamate:glyoxylate aminotransferase 2 GGAT2   Arabidopsis thaliana   alanine; glutamate; glyoxylate pyruvate; 2-oxoglutarate; glycine Alanine aminotransferase catalyses the breakdown of alanine after hypoxia in Arabidopsis thaliana. 10.1111/j.1365-313X.2006.03023.x   At1g70580 pass 33090|Viridiplantae AT1G70580|NA|GGAT2|PF00155;Aminotran_1_2;1|GGAT2|IPR045088;ALAT1/2-like;IPR004839;Aminotransferase_I/II;IPR015424;PyrdxlP-dep_Trfase;IPR015421;PyrdxlP-dep_Trfase_major;IPR015422;PyrdxlP-dep_Trfase_small|GGAT2|NA GGT2_ARATH|A0A3L6FW02_MAIZE|A0A371HVU0_MUCPR|A0A9Q0JIW4_9ROSI|A0A2I0AAJ2_9ASPA|A0AAP0GEP6_9ASPA|A0A2I0W356_9ASPA Q9S7E9|B9DH91|Q8LFE9|A0A3L6FW02|A0A371HVU0|A0A9Q0JIW4|A0A2I0AAJ2|A0AAP0GEP6|A0A2I0W356 NP_001031262.1|NP_001031262|NP_001031263.1|NP_001031263|NP_177215.1|NP_177215|NP_974122.1|NP_974122| NM_001036185.1|NM_001036185|NM_001036186.2|NM_001036186|NM_105726.3|NM_105726|NM_202393.2|NM_202393| Arabidopsis_thaliana|Zea_mays|Mucuna_pruriens|Turnera_subulata|Apostasia_shenzhenica|Platanthera_zijinensis|Dendrobium_catenatum
Aminotransferase,4479|Poaceae,Aminotransferase_Minimally_Curated_Set.xlsx,NewIDs,D-phenylalanine aminotransferase,,Sorghum bicolor,D-phenylalanine,phenylpyruvate,D-phenylalanine aminotransferase    Sorghum bicolor   D-phenylalanine phenylpyruvate Conversion of l- and d-Phenylalanine to Phenylacetate via Phenylpyruvate in Sorghum Leaf Extracts. 10.1104/pp.64.2.176    pass 33090|Viridiplantae
Aminotransferase,3700|Brassicaceae,Aminotransferase_Minimally_Curated_Set.xlsx,NewIDs,Glyoxylate aminotransferase,GA,Moricandia moricandioides,glyoxylate;alanine,glycine;pyruvate,Glyoxylate aminotransferase GA   Moricandia moricandioides   glyoxylate;alanine glycine;pyruvate Photorespiratory metabolism and immunogold localization of photorespiratory enzymes in leaves of C3 and C 3-C 4 intermediate species of Moricandia. 10.1007/BF00401016   EC 2.6.1.4; EC 2.6.1.45 pass 33090|Viridiplantae EC2.6.1.4|NA|EC2|NA|EC2.6.1.45|NA|GA|PF02704;GASA;1|GA|PF03171;2OG-FeII_Oxy;1;PF14226;DIOX_N;1|GA|PF07207;Lir1;1 A0A060IGG2_ELAGV|A0A1P8B5N0_ARATH|Q41016_PEA A0A060IGG2|A0A1P8B5N0|Q41016 |NP_001328762.1|NP_001328762 |NM_001341731.1|NM_001341731 Elaeis_guineensis_var._tenera|Arabidopsis_thaliana|Pisum_sativum
Aminotransferase,4479|Poaceae,Aminotransferase_Minimally_Curated_Set.xlsx,NewIDs,Alanine aminotransferase,AlaAT,Panicum miliaceum,pyruvate; glutamate,alanine; 2-oxoglutarate,Alanine aminotransferase AlaAT   Panicum miliaceum   pyruvate; glutamate alanine; 2-oxoglutarate Purification and characterization of alanine aminotransferase from Panicum miliaceum leaves. 10.1016/0003-9861(91)90470-4    pass 33090|Viridiplantae ALAAT|NA
Aminotransferase,3745|Rosaceae,Aminotransferase_Minimally_Curated_Set.xlsx,NewIDs,ornithine-b-transaminase,,Rosa 'Paul's Scarlet Rose',ornithine,,ornithine-b-transaminase    Rosa 'Paul's Scarlet Rose'   ornithine  Biosynthesis of protein amino acids in plant tissue culture. 3. Studies on the biosynthesis of arginine. 10.1104/pp.42.3.387    pass 33090|Viridiplantae
Aminotransferase,4479|Poaceae,Aminotransferase_Minimally_Curated_Set.xlsx,NewIDs,Alanine aminotransferase,AlaAT,Panicum miliaceum,alanine; 2-oxoglutarate,pyruvate; glutamate,Alanine aminotransferase AlaAT   Panicum miliaceum   alanine; 2-oxoglutarate pyruvate; glutamate Purification and characterization of alanine aminotransferase from Panicum miliaceum leaves. 10.1016/0003-9861(91)90470-4    pass 33090|Viridiplantae ALAAT|NA
Aminotransferase,186817|Bacillaceae,Aminotransferase_Minimally_Curated_Set.xlsx,NewIDs,aminodeoxychorismate synthase,BsADCS,Bacillus subtilis,4-amino-4-deoxychorismate,p-aminobenzoate; pyruvate,aminodeoxychorismate synthase BsADCS   Bacillus subtilis   4-amino-4-deoxychorismate p-aminobenzoate; pyruvate The synthesis of pABA: Coupling between the glutamine amidotransferase and aminodeoxychorismate synthase domains of the bifunctional aminodeoxychorismate synthase from Arabidopsis thaliana. 10.1016/j.abb.2010.09.010    pass 2|Bacteria BSADCS|NA
Aminotransferase,4136|Lamiaceae,Aminotransferase_Minimally_Curated_Set.xlsx,NewIDs,Tyrosine Aminotransferase 2,SmTAT2,Salvia miltiorrhiza,4-hydroxyphenylpyruvate (4-HPP); 4-hydroxyphenylpyruvic acid,tyrosine,Tyrosine Aminotransferase 2 SmTAT2   Salvia miltiorrhiza   4-hydroxyphenylpyruvate (4-HPP); 4-hydroxyphenylpyruvic acid tyrosine Expression Patterns and Functional Analysis of Three SmTAT Genes Encoding Tyrosine Aminotransferases in Salvia miltiorrhiza. 10.3390/ijms242115575    pass 33090|Viridiplantae SMTAT2|NA
Aminotransferase,13811|Anthocerotaceae,Aminotransferase_Minimally_Curated_Set.xlsx,NewIDs,Tyrosine aminotransferase,AaTAT,Anthoceros agrestis,l-tyrosine; prephenate,arogenate; glutamate,Tyrosine aminotransferase AaTAT   Anthoceros agrestis   l-tyrosine; prephenate arogenate; glutamate Identification and biochemical characterisation of tyrosine aminotransferase from Anthoceros agrestis unveils the conceivable entry point into rosmarinic acid biosynthesis in hornworts. 10.1007/s00425-021-03623-2  MN922307  pass 33090|Viridiplantae MN922307|PF00155;Aminotran_1_2;1|AATAT|NA A0A8E3Z7M3_9EMBR A0A8E3Z7M3   Anthoceros_agrestis
Aminotransferase,1804623|Chenopodiaceae,Aminotransferase_Minimally_Curated_Set.xlsx,NewIDs,glutamate:glyoxylate aminotransferase,GGA,Spinacia oleracea,glyoxylate; DL-serine,glycine; hydroxypyruvate,glutamate:glyoxylate aminotransferase GGA   Spinacia oleracea   glyoxylate; DL-serine glycine; hydroxypyruvate Glycolate and glyoxylate metabolism by isolated peroxisomes or chloroplasts. 10.1104/pp.44.2.242    pass 33090|Viridiplantae GGA|NA
Aminotransferase,3563|Amaranthaceae,Aminotransferase_Minimally_Curated_Set.xlsx,NewIDs,Leucine Aminotransferase,LAT,Amaranthus dubius,Isoleucine,Î±-Keto-Î²-methylvalerate,Leucine Aminotransferase LAT   Amaranthus dubius   Isoleucine Î±-Keto-Î²-methylvalerate Inactivation of leucine aminotransferase with diethylpyrocarbonate and rose bengal: evidence for an active site histidine residue.     pass_noDOI 33090|Viridiplantae LAT|NA
Aminotransferase,4070|Solanaceae,Aminotransferase_Minimally_Curated_Set.xlsx,NewIDs,putative aminotransferase,pAMT,Capsicum annuum,vanillin,vanillyl alcohol,"putative aminotransferase pAMT   Capsicum annuum   vanillin vanillyl alcohol Functional loss of pAMT results in biosynthesis of capsinoids, capsaicinoid analogs, in Capsicum annuum cv. CH-19 Sweet. 10.1111/j.1365-313X.2009.03921.x  AF085149  pass 33090|Viridiplantae AF085149|PF00202;Aminotran_3;1|AF085149|IPR005814;Aminotrans_3;IPR049704;Aminotrans_3_PPA_site;IPR015424;PyrdxlP-dep_Trfase;IPR015421;PyrdxlP-dep_Trfase_major;IPR015422;PyrdxlP-dep_Trfase_small|PAMT|NA PAMT_CAPCH|PAMT_CAPFR O82521|A0A2G3CTB3|A0A6J3ZXX9|D6R3B6   Capsicum_chinense|Capsicum_frutescens"
Aminotransferase,3700|Brassicaceae,Aminotransferase_Minimally_Curated_Set.xlsx,NewIDs,Tyrosine aminotransferase 1,TAT1,Arabidopsis thaliana,phenylalanine,phenylpyruvate,Tyrosine aminotransferase 1 TAT1   Arabidopsis thaliana   phenylalanine phenylpyruvate Biochemical characterization of plant aromatic aminotransferases. 10.1016/bs.mie.2022.07.034    pass 33090|Viridiplantae TAT1|PF00155;Aminotran_1_2;1 A0A2K9VP55_MALDO|A0A1E7EQ25_9STRA|A0A0A7DQ59_SCUBA A0A2K9VP55|A0A1E7EQ25|A0A0A7DQ59   Malus_domestica|Fragilariopsis_cylindrus_CCMP1102|Scutellaria_baicalensis
Aminotransferase,4479|Poaceae,Aminotransferase_Minimally_Curated_Set.xlsx,NewIDs,nicotianamine aminotransferase 4,OsNAAT4,Oryza sativa,nicotianamine,3''-keto intermediate,nicotianamine aminotransferase 4 OsNAAT4   Oryza sativa   nicotianamine 3''-keto intermediate Identification and localisation of the rice nicotianamine aminotransferase gene OsNAAT1 expression suggests the site of phytosiderophore synthesis in rice. 10.1007/s11103-007-9262-8  AK107186  pass 33090|Viridiplantae AK107186|PF00155;Aminotran_1_2;1|OSNAAT4|NA Q5Z7R3_ORYSJ Q5Z7R3|B7F040 XP_015641108.1|XP_015641108 XM_015785622.1|XM_015785622 Oryza_sativa_subsp._japonica
Aminotransferase,3700|Brassicaceae,Aminotransferase_Minimally_Curated_Set.xlsx,NewIDs,AGD2-Like Defense Response Protein 1,ALD1,Arabidopsis thaliana,Lys; Ala; Arg; Met; AABA; a-aminobutyric acid,amino acidâ€“derived molecule; salicylic acid,"AGD2-Like Defense Response Protein 1 ALD1   Arabidopsis thaliana   Lys; Ala; Arg; Met; AABA; a-aminobutyric acid amino acidâ€“derived molecule; salicylic acid Divergent roles in Arabidopsis thaliana development and defense of two homologous genes, aberrant growth and death2 and AGD2-LIKE DEFENSE RESPONSE PROTEIN1, encoding novel aminotransferases. 10.1105/tpc.019372 Q93YZ2  At2g13810 pass 33090|Viridiplantae Q93YZ2|PF01095;Pectinesterase;1;PF04043;PMEI;1|Q93YZ2|IPR035513;Invertase/methylesterase_inhib;IPR012334;Pectin_lyas_fold;IPR011050;Pectin_lyase_fold/virulence;IPR033131;Pectinesterase_Asp_AS;IPR000070;Pectinesterase_cat;IPR006501;Pectinesterase_inhib_dom;IPR018040;Pectinesterase_Tyr_AS|AT2G13810|PF00155;Aminotran_1_2;1|AT2G13810|IPR004839;Aminotransferase_I/II;IPR019942;DapL/ALD1;IPR015424;PyrdxlP-dep_Trfase;IPR015421;PyrdxlP-dep_Trfase_major;IPR015422;PyrdxlP-dep_Trfase_small|ALD1|PF00155;Aminotran_1_2;1|ALD1|IPR004839;Aminotransferase_I/II;IPR019942;DapL/ALD1;IPR015424;PyrdxlP-dep_Trfase;IPR015421;PyrdxlP-dep_Trfase_major;IPR015422;PyrdxlP-dep_Trfase_small|ALD1|PF00171;Aldedh;1 PME3_ARATH|ALD1_ARATH|ALD1_ORYSJ|A0A3Q8Q412_CAMSI|A0A317Y1I1_MAIZE|A0A371FD63_MUCPR|A0A371GE55_MUCPR|F0Y6V6_AURAN|A0A9Q0F4J0_9ROSI|A0A3S8ND52_CAMSI|B8BYY3_THAPS|A0A314KZD4_NICAT|A0A2I0VZH7_9ASPA|A0A251UBS8_HELAN O49006|Q56X61|Q93YZ2|Q9LUL7|Q9ZQI7|Q93ZH8|Q6VMN7|Q8H7W8|A0A3Q8Q412|A0A317Y1I1|A0A371FD63|A0A371GE55|F0Y6V6|A0A9Q0F4J0|A0A3S8ND52|B8BYY3|A0A314KZD4|A0A2I0VZH7|A0A251UBS8 NP_188048.1|NP_188048|NP_565359.1|NP_565359|XP_015630783.1|XP_015630783||XP_009036043.1|XP_009036043|XP_002288533.1|XP_002288533|XP_019266805.1|XP_019266805 NM_112289.3|NM_112289|NM_126957.2|NM_126957|XM_015775297.1|XM_015775297||XM_009037795.1|XM_009037795|XM_002288497.1|XM_002288497|XM_019411260.1|XM_019411260 Arabidopsis_thaliana|Oryza_sativa_subsp._japonica|Camellia_sinensis|Zea_mays|Mucuna_pruriens|Aureococcus_anophagefferens|Turnera_subulata|Thalassiosira_pseudonana|Nicotiana_attenuata|Dendrobium_catenatum|Helianthus_annuus"
Aminotransferase,1804623|Chenopodiaceae,Aminotransferase_Minimally_Curated_Set.xlsx,NewIDs,Glutamate:Glyoxylate Aminotransferase,,Spinacia oleracea,Glutamate;Glyoxylate,a-Ketoglutarate;Glycine,Glutamate:Glyoxylate Aminotransferase    Spinacia oleracea   Glutamate;Glyoxylate a-Ketoglutarate;Glycine Glycolate and glyoxylate metabolism by isolated peroxisomes or chloroplasts. 10.1104/pp.44.2.242    pass 33090|Viridiplantae
