target_enzyme,target_family,stage,critical_transition_score,herbicide_target_family,herbicide_site_of_action,wssa_group,known_inhibitor_classes,resistance_risks,scenario_selectivity_margin,weed_vulnerability_score,crop_vulnerability_score,compound_a,compound_b,compound_a_source,compound_b_source,compound_a_priority_class,compound_b_priority_class,compound_a_exclusion_reason,compound_b_exclusion_reason,compound_a_phytochemical_class,compound_b_phytochemical_class,compound_a_phytochemical_class_score,compound_b_phytochemical_class_score,phytochemical_class_pair,compound_a_intervention_suitability_score,compound_b_intervention_suitability_score,intervention_suitability_score,compound_priority_class,compound_exclusion_reason,compound_a_functional_group_hits,compound_b_functional_group_hits,predicted_single_a,predicted_single_b,bliss_expected,mechanistic_complementarity,synergy_delta,inhibit_synergy,synergy_group_score,synergy_edge_sum,epsilon_threshold,synergy_match_schema,compound_source_score_list,compound_a_evidence_types,compound_b_evidence_types,predicted_combined_perturbation,crop_impact_estimate,environmental_persistence_proxy,toxicity_hazard_proxy,control_compound_penalty,optimization_objective,functional_silencing_threshold,meets_functional_silencing_proxy,evidence_class,synergy_evidence_class,proxy_notes,diversity_selection_phase,diversity_selection_relaxed
acetolactate synthase,ALS/AHAS,seedling_emergence,0.5724640000000001,ALS/AHAS,acetolactate synthase / acetohydroxyacid synthase,2,sulfonylureas;imidazolinones;triazolopyrimidines;pyrimidinyl-thiobenzoates,target_site_mutation;metabolic_resistance;cross_resistance,0.84579712,0.62579712,0.28,(2-amino-1-hydroxyethyl)phosphonate,"1,4-benzoquinone",SKiD_substrates,SKiD_substrates,known_inhibitor_like,oxidative_stress_inducer_candidate,,,organophosphonate_transition_state_mimic,quinone_redox_candidate,0.63,0.81,organophosphonate_transition_state_mimic||quinone_redox_candidate,0.5875468253846153,0.38057470358974366,0.4840607644871795,known_inhibitor_like||oxidative_stress_inducer_candidate,,phenolic_or_aromatic_hydroxyl;transition_state_acidic_mimic,quinone_ros_redox,0.6579252821846153,0.443602167323077,0.8096703683939499,0.7643520837821021,0.3815360035146091,True,0.8552923801879487,1.0653650189282051,0.92,active_site_compatibility;functional_group_match;herbicide_target_atlas_match;known_inhibitor_class_similarity;natural_product_or_allelopathy_prior;ros_photosynthesis_disruption_prior;transition_state_mimicry,"(2-amino-1-hydroxyethyl)phosphonate:[SKiD_substrates,0.701]|1,4-benzoquinone:[SKiD_substrates,0.364]",active_site_compatibility;functional_group_match;herbicide_target_atlas_match;known_inhibitor_class_similarity;transition_state_mimicry,herbicide_target_atlas_match;natural_product_or_allelopathy_prior;ros_photosynthesis_disruption_prior,0.8822879753873301,0.13605134679409545,0.05691533333333332,0.29506374999999996,0.15,0.5609304464882007,0.72,True,model_inference_with_real_compound_and_target_rule_evidence,inhibit_synergy_model_inference_requires_assay_validation,"Combination synergy is inferred from typed inhibition evidence edges, active-site/transition-state rules, compound suitability, and herbicide target atlas matches. It is not wet-lab validated.",strict_linear_fill,False
EPSP synthase,EPSPS,early_vegetative,0.5724640000000001,EPSPS,5-enolpyruvylshikimate-3-phosphate synthase,9,glyphosate-like phosphonate transition-state/substrate mimics,target_site_mutation;target_amplification;reduced_translocation,0.84579712,0.62579712,0.28,(2-amino-1-hydroxyethyl)phosphonate,"1,4-benzoquinone",SKiD_substrates,SKiD_substrates,known_inhibitor_like,oxidative_stress_inducer_candidate,,,organophosphonate_transition_state_mimic,quinone_redox_candidate,0.63,0.81,organophosphonate_transition_state_mimic||quinone_redox_candidate,0.5875468253846153,0.38057470358974366,0.4840607644871795,known_inhibitor_like||oxidative_stress_inducer_candidate,,phenolic_or_aromatic_hydroxyl;transition_state_acidic_mimic,quinone_ros_redox,0.6579252821846153,0.443602167323077,0.8096703683939499,0.7643520837821021,0.3815360035146091,True,0.8552923801879487,1.0653650189282051,0.92,active_site_compatibility;functional_group_match;herbicide_target_atlas_match;known_inhibitor_class_similarity;natural_product_or_allelopathy_prior;ros_photosynthesis_disruption_prior;transition_state_mimicry,"(2-amino-1-hydroxyethyl)phosphonate:[SKiD_substrates,0.701]|1,4-benzoquinone:[SKiD_substrates,0.364]",active_site_compatibility;functional_group_match;herbicide_target_atlas_match;known_inhibitor_class_similarity;transition_state_mimicry,herbicide_target_atlas_match;natural_product_or_allelopathy_prior;ros_photosynthesis_disruption_prior,0.8822879753873301,0.13605134679409545,0.05691533333333332,0.29506374999999996,0.15,0.5609304464882007,0.72,True,model_inference_with_real_compound_and_target_rule_evidence,inhibit_synergy_model_inference_requires_assay_validation,"Combination synergy is inferred from typed inhibition evidence edges, active-site/transition-state rules, compound suitability, and herbicide target atlas matches. It is not wet-lab validated.",strict_linear_fill,False
GH157,GH,germination,0.5669091801662679,Tubulin/microtubule,microtubule assembly / tubulin polymerization,3,dinitroanilines,tubulin_target_site_mutation;application_escape,0.8453527344133014,0.6253527344133014,0.28,(2-amino-1-hydroxyethyl)phosphonate,4-hydroxybenzoate,SKiD_substrates,SKiD_substrates,known_inhibitor_like,known_inhibitor_like,,,organophosphonate_transition_state_mimic,phenolic_acid_or_benzoate,0.63,0.81,organophosphonate_transition_state_mimic||phenolic_acid_or_benzoate,0.5875468253846153,0.5012298851282051,0.5443883552564102,known_inhibitor_like||known_inhibitor_like,,phenolic_or_aromatic_hydroxyl;transition_state_acidic_mimic,phenolic_or_aromatic_hydroxyl,0.5679252821846154,0.48557278126153847,0.7777290046270262,0.6453712925941565,0.2977603764226251,True,0.8088530208648719,1.0219225292358975,0.92,active_site_compatibility;functional_group_match;herbicide_target_atlas_match;known_inhibitor_class_similarity;transition_state_mimicry,"(2-amino-1-hydroxyethyl)phosphonate:[SKiD_substrates,0.593]|4-hydroxybenzoate:[SKiD_substrates,0.429]",active_site_compatibility;functional_group_match;herbicide_target_atlas_match;known_inhibitor_class_similarity;transition_state_mimicry,herbicide_target_atlas_match;known_inhibitor_class_similarity,0.8439124998771145,0.1305087605004309,0.025346333333333342,0.30676083333333326,0.15,0.5603206781079303,0.72,True,model_inference_with_real_compound_and_target_rule_evidence,inhibit_synergy_model_inference_requires_assay_validation,"Combination synergy is inferred from typed inhibition evidence edges, active-site/transition-state rules, compound suitability, and herbicide target atlas matches. It is not wet-lab validated.",family_floor_seed,False
GH3 acyl adenylase-family enzyme,BAHD acyltransferase,germination,0.5724640000000001,Tubulin/microtubule,microtubule assembly / tubulin polymerization,3,dinitroanilines,tubulin_target_site_mutation;application_escape,0.84579712,0.62579712,0.28,2-hydroxyethylphosphonate,4-hydroxybenzoate,SKiD_substrates,SKiD_substrates,known_inhibitor_like,known_inhibitor_like,,,organophosphonate_transition_state_mimic,phenolic_acid_or_benzoate,0.63,0.81,organophosphonate_transition_state_mimic||phenolic_acid_or_benzoate,0.6053559353846154,0.5012298851282051,0.5532929102564103,known_inhibitor_like||known_inhibitor_like,,phenolic_or_aromatic_hydroxyl;transition_state_acidic_mimic,phenolic_or_aromatic_hydroxyl,0.5742723449846154,0.48557278126153847,0.7809941064903885,0.48037757099977,0.26808625781903556,True,0.8089905279948719,1.0279134098358975,0.92,active_site_compatibility;functional_group_match;herbicide_target_atlas_match;known_inhibitor_class_similarity;transition_state_mimicry,"2-hydroxyethylphosphonate:[SKiD_substrates,0.599]|4-hydroxybenzoate:[SKiD_substrates,0.429]",active_site_compatibility;functional_group_match;herbicide_target_atlas_match;known_inhibitor_class_similarity;transition_state_mimicry,herbicide_target_atlas_match;known_inhibitor_class_similarity,0.8397065769216945,0.12948517251626687,0.025346333333333342,0.25580458333333334,0.15,0.5597154603032126,0.72,True,model_inference_with_real_compound_and_target_rule_evidence,inhibit_synergy_model_inference_requires_assay_validation,"Combination synergy is inferred from typed inhibition evidence edges, active-site/transition-state rules, compound suitability, and herbicide target atlas matches. It is not wet-lab validated.",target_breadth_seed_1,False
Isochorismoyl-Glutamate Synthase; GH3 acyl adenylase-family enzyme,BAHD acyltransferase,germination,0.5724640000000001,Tubulin/microtubule,microtubule assembly / tubulin polymerization,3,dinitroanilines,tubulin_target_site_mutation;application_escape,0.84579712,0.62579712,0.28,2-hydroxyethylphosphonate,"3,4-dihydroxybenzoate",SKiD_substrates,SKiD_substrates,known_inhibitor_like,known_inhibitor_like,,,organophosphonate_transition_state_mimic,phenolic_acid_or_benzoate,0.63,0.99,organophosphonate_transition_state_mimic||phenolic_acid_or_benzoate,0.6053559353846154,0.5193308453846155,0.5623433903846154,known_inhibitor_like||known_inhibitor_like,,phenolic_or_aromatic_hydroxyl;transition_state_acidic_mimic,phenolic_or_aromatic_hydroxyl,0.5742723449846154,0.49142153458461535,0.7834840825273854,0.37934985586192527,0.2503431544859312,True,0.8114454468376925,1.0334001439538463,0.92,active_site_compatibility;functional_group_match;herbicide_target_atlas_match;known_inhibitor_class_similarity;transition_state_mimicry,"2-hydroxyethylphosphonate:[SKiD_substrates,0.599]|3,4-dihydroxybenzoate:[SKiD_substrates,0.434]",active_site_compatibility;functional_group_match;herbicide_target_atlas_match;known_inhibitor_class_similarity;transition_state_mimicry,herbicide_target_atlas_match;known_inhibitor_class_similarity,0.8376873603038953,0.12917380349845836,0.006145999999999971,0.2808708333333333,0.15,0.5593510754456393,0.72,True,model_inference_with_real_compound_and_target_rule_evidence,inhibit_synergy_model_inference_requires_assay_validation,"Combination synergy is inferred from typed inhibition evidence edges, active-site/transition-state rules, compound suitability, and herbicide target atlas matches. It is not wet-lab validated.",target_breadth_seed_1,False
alpha-amylase,amylase,germination,0.5724640000000001,Tubulin/microtubule,microtubule assembly / tubulin polymerization,3,dinitroanilines,tubulin_target_site_mutation;application_escape,0.84579712,0.62579712,0.28,2-hydroxyethylphosphonate,"3,4-dihydroxybenzoate",SKiD_substrates,SKiD_substrates,known_inhibitor_like,known_inhibitor_like,,,organophosphonate_transition_state_mimic,phenolic_acid_or_benzoate,0.63,0.99,organophosphonate_transition_state_mimic||phenolic_acid_or_benzoate,0.6053559353846154,0.5193308453846155,0.5623433903846154,known_inhibitor_like||known_inhibitor_like,,phenolic_or_aromatic_hydroxyl;transition_state_acidic_mimic,phenolic_or_aromatic_hydroxyl,0.5742723449846154,0.49142153458461535,0.7834840825273854,0.37934985586192527,0.2503431544859312,True,0.8114454468376925,1.0334001439538463,0.92,active_site_compatibility;functional_group_match;herbicide_target_atlas_match;known_inhibitor_class_similarity;transition_state_mimicry,"2-hydroxyethylphosphonate:[SKiD_substrates,0.599]|3,4-dihydroxybenzoate:[SKiD_substrates,0.434]",active_site_compatibility;functional_group_match;herbicide_target_atlas_match;known_inhibitor_class_similarity;transition_state_mimicry,herbicide_target_atlas_match;known_inhibitor_class_similarity,0.8376873603038953,0.12917380349845836,0.006145999999999971,0.2808708333333333,0.15,0.5593510754456393,0.72,True,model_inference_with_real_compound_and_target_rule_evidence,inhibit_synergy_model_inference_requires_assay_validation,"Combination synergy is inferred from typed inhibition evidence edges, active-site/transition-state rules, compound suitability, and herbicide target atlas matches. It is not wet-lab validated.",target_breadth_seed_1,False
EPSP synthase,EPSPS,early_vegetative,0.5724640000000001,EPSPS,5-enolpyruvylshikimate-3-phosphate synthase,9,glyphosate-like phosphonate transition-state/substrate mimics,target_site_mutation;target_amplification;reduced_translocation,0.84579712,0.62579712,0.28,2-hydroxyethylphosphonate,3-methylsalicylate,SKiD_substrates,SKiD_substrates,known_inhibitor_like,natural_product_candidate,,,organophosphonate_transition_state_mimic,phenolic_acid_or_benzoate,0.63,0.63,organophosphonate_transition_state_mimic||phenolic_acid_or_benzoate,0.6053559353846154,0.2934797177948718,0.4494178265897436,known_inhibitor_like||natural_product_candidate,,phenolic_or_aromatic_hydroxyl;transition_state_acidic_mimic,,0.6642723449846154,0.4110191681415384,0.8022628464711481,0.5720602888235209,0.3442517698164707,True,0.8404495434902052,1.029114800062564,0.92,active_site_compatibility;functional_group_match;herbicide_target_atlas_match;known_inhibitor_class_similarity;transition_state_mimicry,"2-hydroxyethylphosphonate:[SKiD_substrates,0.707]|3-methylsalicylate:[SKiD_substrates,0.322]",active_site_compatibility;functional_group_match;herbicide_target_atlas_match;known_inhibitor_class_similarity;transition_state_mimicry,herbicide_target_atlas_match,0.8703342115319266,0.13420804198075234,0.05572366666666666,0.25038791666666665,0.15,0.5592519297277231,0.72,True,model_inference_with_real_compound_and_target_rule_evidence,inhibit_synergy_model_inference_requires_assay_validation,"Combination synergy is inferred from typed inhibition evidence edges, active-site/transition-state rules, compound suitability, and herbicide target atlas matches. It is not wet-lab validated.",compound_breadth_seed,False
GH157,GH,germination,0.5669091801662679,Tubulin/microtubule,microtubule assembly / tubulin polymerization,3,dinitroanilines,tubulin_target_site_mutation;application_escape,0.8453527344133014,0.6253527344133014,0.28,2-(2-hydroxyethylthio)ethanesulfonate,4-hydroxybenzoate,SKiD_substrates,SKiD_substrates,transition_state_mimic_candidate,known_inhibitor_like,,,organosulfur_sulfonate,phenolic_acid_or_benzoate,0.81,0.81,organosulfur_sulfonate||phenolic_acid_or_benzoate,0.5197507030769231,0.5012298851282051,0.5104902941025641,known_inhibitor_like||transition_state_mimic_candidate,,phenolic_or_aromatic_hydroxyl;transition_state_acidic_mimic,phenolic_or_aromatic_hydroxyl,0.46518939547692306,0.48557278126153847,0.7248788681633582,0.21396699422567828,0.222164665945283,False,0.8202811499147827,0.8985425649743591,0.92,active_site_compatibility;functional_group_match;herbicide_target_atlas_match;known_inhibitor_class_similarity;transition_state_mimicry,"2-(2-hydroxyethylthio)ethanesulfonate:[SKiD_substrates,0.470]|4-hydroxybenzoate:[SKiD_substrates,0.429]",active_site_compatibility;functional_group_match;herbicide_target_atlas_match;transition_state_mimicry,herbicide_target_atlas_match;known_inhibitor_class_similarity,0.7860010625123339,0.1215529150657722,0.025346333333333342,0.19601666666666667,0.15,0.5585224595740664,0.72,True,model_inference_with_real_compound_and_target_rule_evidence,inhibit_synergy_model_inference_requires_assay_validation,"Combination synergy is inferred from typed inhibition evidence edges, active-site/transition-state rules, compound suitability, and herbicide target atlas matches. It is not wet-lab validated.",strict_linear_fill,False
GH169,GH,germination,0.55672457366219,Tubulin/microtubule,microtubule assembly / tubulin polymerization,3,dinitroanilines,tubulin_target_site_mutation;application_escape,0.8445379658929751,0.6245379658929752,0.28,2-hydroxyethylphosphonate,(2-amino-1-hydroxyethyl)phosphonate,SKiD_substrates,SKiD_substrates,known_inhibitor_like,known_inhibitor_like,,,organophosphonate_transition_state_mimic,organophosphonate_transition_state_mimic,0.63,0.63,organophosphonate_transition_state_mimic||organophosphonate_transition_state_mimic,0.6053559353846154,0.5875468253846153,0.5964513803846154,known_inhibitor_like||known_inhibitor_like,,phenolic_or_aromatic_hydroxyl;transition_state_acidic_mimic,phenolic_or_aromatic_hydroxyl;transition_state_acidic_mimic,0.5742723449846154,0.5679252821846154,0.8160538435930222,0.23912892328426286,0.23173172175995194,True,0.8482695309376924,1.1919395719538461,0.92,active_site_compatibility;functional_group_match;herbicide_target_atlas_match;known_inhibitor_class_similarity;transition_state_mimicry,"2-hydroxyethylphosphonate:[SKiD_substrates,0.599]|(2-amino-1-hydroxyethyl)phosphonate:[SKiD_substrates,0.593]",active_site_compatibility;functional_group_match;herbicide_target_atlas_match;known_inhibitor_class_similarity;transition_state_mimicry,active_site_compatibility;functional_group_match;herbicide_target_atlas_match;known_inhibitor_class_similarity;transition_state_mimicry,0.8586800031283366,0.13349213993335768,0.0,0.41776624999999995,0.15,0.5577229235857528,0.72,True,model_inference_with_real_compound_and_target_rule_evidence,inhibit_synergy_model_inference_requires_assay_validation,"Combination synergy is inferred from typed inhibition evidence edges, active-site/transition-state rules, compound suitability, and herbicide target atlas matches. It is not wet-lab validated.",target_breadth_seed_3,False
EPSP synthase,EPSPS,early_vegetative,0.5724640000000001,EPSPS,5-enolpyruvylshikimate-3-phosphate synthase,9,glyphosate-like phosphonate transition-state/substrate mimics,target_site_mutation;target_amplification;reduced_translocation,0.84579712,0.62579712,0.28,2-hydroxyethylphosphonate,3-indolelactate,SKiD_substrates,SKiD_substrates,known_inhibitor_like,natural_product_candidate,,,organophosphonate_transition_state_mimic,alkaloid_nitrogenous,0.63,0.63,alkaloid_nitrogenous||organophosphonate_transition_state_mimic,0.6053559353846154,0.3170645535897436,0.4612102444871795,known_inhibitor_like||natural_product_candidate,,phenolic_or_aromatic_hydroxyl;transition_state_acidic_mimic,alkaloid_nitrogenous,0.6642723449846154,0.42655508372307693,0.8074786829778552,0.5008012132536798,0.33280424337629316,True,0.8481112499479487,1.0585790189282052,0.92,active_site_compatibility;functional_group_match;herbicide_target_atlas_match;known_inhibitor_class_similarity;transition_state_mimicry,"2-hydroxyethylphosphonate:[SKiD_substrates,0.707]|3-indolelactate:[SKiD_substrates,0.352]",active_site_compatibility;functional_group_match;herbicide_target_atlas_match;known_inhibitor_class_similarity;transition_state_mimicry,herbicide_target_atlas_match,0.8715505942232176,0.13439561169493155,0.0531683333333333,0.27966541666666667,0.15,0.5561296937025628,0.72,True,model_inference_with_real_compound_and_target_rule_evidence,inhibit_synergy_model_inference_requires_assay_validation,"Combination synergy is inferred from typed inhibition evidence edges, active-site/transition-state rules, compound suitability, and herbicide target atlas matches. It is not wet-lab validated.",compound_breadth_seed,False
cellulase,CAZy,germination,0.5724640000000001,CAZy/cell wall,cell wall carbohydrate metabolism / cellulose-associated enzymes,20/unknown,cell_wall_synthesis_inhibitors;glycosidase_inhibitor_like,pathway_bypass;reduced_uptake,0.84579712,0.62579712,0.28,(2-amino-1-hydroxyethyl)phosphonate,2-Hydroxyoctanoate,SKiD_substrates,SKiD_substrates,known_inhibitor_like,natural_product_candidate,,,organophosphonate_transition_state_mimic,organic_acid_or_lactone,0.63,0.63,organic_acid_or_lactone||organophosphonate_transition_state_mimic,0.5875468253846153,0.3495196248717949,0.4685332251282051,known_inhibitor_like||natural_product_candidate,,phenolic_or_aromatic_hydroxyl;transition_state_acidic_mimic,phenolic_or_aromatic_hydroxyl,0.6579252821846153,0.44496263793846147,0.8101357509958037,0.714001645037869,0.37288101757678566,True,0.8575595637220513,1.0883465911179488,0.92,active_site_compatibility;functional_group_match;herbicide_target_atlas_match;known_inhibitor_class_similarity;transition_state_mimicry,"(2-amino-1-hydroxyethyl)phosphonate:[SKiD_substrates,0.701]|2-Hydroxyoctanoate:[SKiD_substrates,0.387]",active_site_compatibility;functional_group_match;herbicide_target_atlas_match;known_inhibitor_class_similarity;transition_state_mimicry,herbicide_target_atlas_match,0.8809325253659406,0.13584233249710112,0.058701666666666596,0.3049216666666666,0.15,0.5554880708686774,0.72,True,model_inference_with_real_compound_and_target_rule_evidence,inhibit_synergy_model_inference_requires_assay_validation,"Combination synergy is inferred from typed inhibition evidence edges, active-site/transition-state rules, compound suitability, and herbicide target atlas matches. It is not wet-lab validated.",strict_linear_fill,False
EPSP synthase,EPSPS,early_vegetative,0.5724640000000001,EPSPS,5-enolpyruvylshikimate-3-phosphate synthase,9,glyphosate-like phosphonate transition-state/substrate mimics,target_site_mutation;target_amplification;reduced_translocation,0.84579712,0.62579712,0.28,(2-amino-1-hydroxyethyl)phosphonate,2-Hydroxyoctanoate,SKiD_substrates,SKiD_substrates,known_inhibitor_like,natural_product_candidate,,,organophosphonate_transition_state_mimic,organic_acid_or_lactone,0.63,0.63,organic_acid_or_lactone||organophosphonate_transition_state_mimic,0.5875468253846153,0.3495196248717949,0.4685332251282051,known_inhibitor_like||natural_product_candidate,,phenolic_or_aromatic_hydroxyl;transition_state_acidic_mimic,phenolic_or_aromatic_hydroxyl,0.6579252821846153,0.44496263793846147,0.8101357509958037,0.714001645037869,0.37288101757678566,True,0.8575595637220513,1.0883465911179488,0.92,active_site_compatibility;functional_group_match;herbicide_target_atlas_match;known_inhibitor_class_similarity;transition_state_mimicry,"(2-amino-1-hydroxyethyl)phosphonate:[SKiD_substrates,0.701]|2-Hydroxyoctanoate:[SKiD_substrates,0.387]",active_site_compatibility;functional_group_match;herbicide_target_atlas_match;known_inhibitor_class_similarity;transition_state_mimicry,herbicide_target_atlas_match,0.8809325253659406,0.13584233249710112,0.058701666666666596,0.3049216666666666,0.15,0.5554880708686774,0.72,True,model_inference_with_real_compound_and_target_rule_evidence,inhibit_synergy_model_inference_requires_assay_validation,"Combination synergy is inferred from typed inhibition evidence edges, active-site/transition-state rules, compound suitability, and herbicide target atlas matches. It is not wet-lab validated.",strict_linear_fill,False
acetolactate synthase,ALS/AHAS,seedling_emergence,0.5724640000000001,ALS/AHAS,acetolactate synthase / acetohydroxyacid synthase,2,sulfonylureas;imidazolinones;triazolopyrimidines;pyrimidinyl-thiobenzoates,target_site_mutation;metabolic_resistance;cross_resistance,0.84579712,0.62579712,0.28,(2-amino-1-hydroxyethyl)phosphonate,2-Hydroxyoctanoate,SKiD_substrates,SKiD_substrates,known_inhibitor_like,natural_product_candidate,,,organophosphonate_transition_state_mimic,organic_acid_or_lactone,0.63,0.63,organic_acid_or_lactone||organophosphonate_transition_state_mimic,0.5875468253846153,0.3495196248717949,0.4685332251282051,known_inhibitor_like||natural_product_candidate,,phenolic_or_aromatic_hydroxyl;transition_state_acidic_mimic,phenolic_or_aromatic_hydroxyl,0.6579252821846153,0.44496263793846147,0.8101357509958037,0.714001645037869,0.37288101757678566,True,0.8575595637220513,1.0883465911179488,0.92,active_site_compatibility;functional_group_match;herbicide_target_atlas_match;known_inhibitor_class_similarity;transition_state_mimicry,"(2-amino-1-hydroxyethyl)phosphonate:[SKiD_substrates,0.701]|2-Hydroxyoctanoate:[SKiD_substrates,0.387]",active_site_compatibility;functional_group_match;herbicide_target_atlas_match;known_inhibitor_class_similarity;transition_state_mimicry,herbicide_target_atlas_match,0.8809325253659406,0.13584233249710112,0.058701666666666596,0.3049216666666666,0.15,0.5554880708686774,0.72,True,model_inference_with_real_compound_and_target_rule_evidence,inhibit_synergy_model_inference_requires_assay_validation,"Combination synergy is inferred from typed inhibition evidence edges, active-site/transition-state rules, compound suitability, and herbicide target atlas matches. It is not wet-lab validated.",strict_linear_fill,False
acetolactate synthase,ALS/AHAS,seedling_emergence,0.5724640000000001,ALS/AHAS,acetolactate synthase / acetohydroxyacid synthase,2,sulfonylureas;imidazolinones;triazolopyrimidines;pyrimidinyl-thiobenzoates,target_site_mutation;metabolic_resistance;cross_resistance,0.84579712,0.62579712,0.28,2-hydroxyethylphosphonate,2-hydroxypentanoate,SKiD_substrates,SKiD_substrates,known_inhibitor_like,low_priority_unknown,,,organophosphonate_transition_state_mimic,unclassified_or_unknown,0.63,0.0,organophosphonate_transition_state_mimic||unclassified_or_unknown,0.6053559353846154,0.24191660153846153,0.42363626846153846,known_inhibitor_like||low_priority_unknown,,phenolic_or_aromatic_hydroxyl;transition_state_acidic_mimic,phenolic_or_aromatic_hydroxyl,0.6642723449846154,0.41063749073846156,0.8021347068116407,0.34422271888133615,0.30373469021460975,True,0.8431922267553847,1.0621643849846154,0.92,active_site_compatibility;functional_group_match;herbicide_target_atlas_match;known_inhibitor_class_similarity;transition_state_mimicry,"2-hydroxyethylphosphonate:[SKiD_substrates,0.707]|2-hydroxypentanoate:[SKiD_substrates,0.355]",active_site_compatibility;functional_group_match;herbicide_target_atlas_match;known_inhibitor_class_similarity;transition_state_mimicry,herbicide_target_atlas_match,0.86223326034243,0.13295885197659252,0.0,0.3011254166666667,0.15,0.5546650034453555,0.72,True,model_inference_with_real_compound_and_target_rule_evidence,inhibit_synergy_model_inference_requires_assay_validation,"Combination synergy is inferred from typed inhibition evidence edges, active-site/transition-state rules, compound suitability, and herbicide target atlas matches. It is not wet-lab validated.",compound_breadth_seed,False
acetolactate synthase,ALS/AHAS,seedling_emergence,0.5724640000000001,ALS/AHAS,acetolactate synthase / acetohydroxyacid synthase,2,sulfonylureas;imidazolinones;triazolopyrimidines;pyrimidinyl-thiobenzoates,target_site_mutation;metabolic_resistance;cross_resistance,0.84579712,0.62579712,0.28,"3,4-dihydroxybenzoate",3-hydroxypropanoic acid,SKiD_substrates,SKiD_substrates,known_inhibitor_like,natural_product_candidate,,,phenolic_acid_or_benzoate,organic_acid_or_lactone,0.99,0.63,organic_acid_or_lactone||phenolic_acid_or_benzoate,0.5193308453846155,0.3484551969230769,0.4338930211538462,known_inhibitor_like||natural_product_candidate,,phenolic_or_aromatic_hydroxyl,phenolic_or_aromatic_hydroxyl,0.5814215345846154,0.44281011852307683,0.7667723144664095,0.10918795615633826,0.24710996316797162,True,0.7636451725546153,0.9276759322615385,0.92,herbicide_target_atlas_match;known_inhibitor_class_similarity,"3,4-dihydroxybenzoate:[SKiD_substrates,0.542]|3-hydroxypropanoic acid:[SKiD_substrates,0.385]",herbicide_target_atlas_match;known_inhibitor_class_similarity,herbicide_target_atlas_match,0.8244051992483663,0.12712565601107195,0.006145999999999971,0.16916083333333334,0.15,0.5543976694995655,0.72,True,model_inference_with_real_compound_and_target_rule_evidence,inhibit_synergy_model_inference_requires_assay_validation,"Combination synergy is inferred from typed inhibition evidence edges, active-site/transition-state rules, compound suitability, and herbicide target atlas matches. It is not wet-lab validated.",strict_linear_fill,False
cellulase,CAZy,germination,0.5724640000000001,CAZy/cell wall,cell wall carbohydrate metabolism / cellulose-associated enzymes,20/unknown,cell_wall_synthesis_inhibitors;glycosidase_inhibitor_like,pathway_bypass;reduced_uptake,0.84579712,0.62579712,0.28,"3,4-dihydroxybenzoate",3-hydroxypropanoic acid,SKiD_substrates,SKiD_substrates,known_inhibitor_like,natural_product_candidate,,,phenolic_acid_or_benzoate,organic_acid_or_lactone,0.99,0.63,organic_acid_or_lactone||phenolic_acid_or_benzoate,0.5193308453846155,0.3484551969230769,0.4338930211538462,known_inhibitor_like||natural_product_candidate,,phenolic_or_aromatic_hydroxyl,phenolic_or_aromatic_hydroxyl,0.5814215345846154,0.44281011852307683,0.7667723144664095,0.10918795615633826,0.24710996316797162,True,0.7636451725546153,0.9276759322615385,0.92,herbicide_target_atlas_match;known_inhibitor_class_similarity,"3,4-dihydroxybenzoate:[SKiD_substrates,0.542]|3-hydroxypropanoic acid:[SKiD_substrates,0.385]",herbicide_target_atlas_match;known_inhibitor_class_similarity,herbicide_target_atlas_match,0.8244051992483663,0.12712565601107195,0.006145999999999971,0.16916083333333334,0.15,0.5543976694995655,0.72,True,model_inference_with_real_compound_and_target_rule_evidence,inhibit_synergy_model_inference_requires_assay_validation,"Combination synergy is inferred from typed inhibition evidence edges, active-site/transition-state rules, compound suitability, and herbicide target atlas matches. It is not wet-lab validated.",strict_linear_fill,False
EPSP synthase,EPSPS,early_vegetative,0.5724640000000001,EPSPS,5-enolpyruvylshikimate-3-phosphate synthase,9,glyphosate-like phosphonate transition-state/substrate mimics,target_site_mutation;target_amplification;reduced_translocation,0.84579712,0.62579712,0.28,"3,4-dihydroxybenzoate",3-hydroxypropanoic acid,SKiD_substrates,SKiD_substrates,known_inhibitor_like,natural_product_candidate,,,phenolic_acid_or_benzoate,organic_acid_or_lactone,0.99,0.63,organic_acid_or_lactone||phenolic_acid_or_benzoate,0.5193308453846155,0.3484551969230769,0.4338930211538462,known_inhibitor_like||natural_product_candidate,,phenolic_or_aromatic_hydroxyl,phenolic_or_aromatic_hydroxyl,0.5814215345846154,0.44281011852307683,0.7667723144664095,0.10918795615633826,0.24710996316797162,True,0.7636451725546153,0.9276759322615385,0.92,herbicide_target_atlas_match;known_inhibitor_class_similarity,"3,4-dihydroxybenzoate:[SKiD_substrates,0.542]|3-hydroxypropanoic acid:[SKiD_substrates,0.385]",herbicide_target_atlas_match;known_inhibitor_class_similarity,herbicide_target_atlas_match,0.8244051992483663,0.12712565601107195,0.006145999999999971,0.16916083333333334,0.15,0.5543976694995655,0.72,True,model_inference_with_real_compound_and_target_rule_evidence,inhibit_synergy_model_inference_requires_assay_validation,"Combination synergy is inferred from typed inhibition evidence edges, active-site/transition-state rules, compound suitability, and herbicide target atlas matches. It is not wet-lab validated.",strict_linear_fill,False
