enzyme_key,enzyme_name,enzyme_family,stage,target_class,anchor_hit,source_evidence,evidence_class,species,substrate,product,kinetic_records,median_parameter,pH_median,temp_median,uniprot_count,organism_count,site_types,plant_like_records,stage_assigned,stage_index,kinetic_evidence_score,organism_evidence_score,plant_context_score,anchor_score,structure_score,natural_inhibitor_evidence_score,crop_selectivity_margin,uncertainty_penalty,pathway_essentiality_score,criticality_score_formula,trajectory_peak,trajectory_curvature_max,trajectory_critical_t,enzyme_state_text,enzyme_state_cluster
cytochrome P450,cytochrome P450,Cytochrome P450,specialized_metabolism,detoxification_secondary_metabolism,1,curated_families,real_evidence,,,,0.0,,,,,0.0,,0.0,specialized_metabolism,8.0,0.0,0.0,0.0,1,0.0,0.0,0.73,0.41000000000000003,0.85,0.3942,0.39336979096470137,11.64849436452279,0.9090909090909092,cytochrome P450 Cytochrome P450 detoxification_secondary_metabolism specialized_metabolism,3
UDP glycosyltransferase,UDP glycosyltransferase,UDP glycosyltransferase,specialized_metabolism,glycosylation_detoxification,1,curated_families,real_evidence,,,,0.0,,,,,0.0,,0.0,specialized_metabolism,8.0,0.0,0.0,0.0,1,0.0,0.0,0.73,0.41000000000000003,0.85,0.3942,0.39336979096470137,11.64849436452279,0.9090909090909092,UDP glycosyltransferase UDP glycosyltransferase glycosylation_detoxification specialized_metabolism,3
BAHD acyltransferase,BAHD acyltransferase,BAHD acyltransferase,cell_wall_secondary_growth,phenylpropanoid_acylation,1,curated_families,real_evidence,,,,0.0,,,,,0.0,,0.0,cell_wall_secondary_growth,9.0,0.0,0.0,0.0,1,0.0,0.0,0.73,0.41000000000000003,0.85,0.3942,0.3942,7.373597112913975,0.8181818181818182,BAHD acyltransferase BAHD acyltransferase phenylpropanoid_acylation cell_wall_secondary_growth,0
Branched-chain amino acid transaminase,Branched-chain amino acid transaminase,Aminotransferase,unassigned_stage,curated_family_function,1,Aminotransferase_Minimally_Curated_Set.xlsx,real_evidence,Nicotiana benthamiana,branched-chain amino acids (BCAAs); leucine; isoleucine; valine,leucine; isoleucine; valine,0.0,,,,,0.0,,0.0,unassigned_stage,3.0,0.0,0.0,0.0,1,0.0,0.0,0.73,0.41000000000000003,0.85,0.3942,0.3689800923223725,17.07963758390394,0.36363636363636365,Branched-chain amino acid transaminase Aminotransferase branched-chain amino acids (BCAAs); leucine; isoleucine; valine leucine; isoleucine; valine curated_family_function unassigned_stage,2
GABA transaminase 1,GABA transaminase 1,Aminotransferase,unassigned_stage,curated_family_function,1,Aminotransferase_Minimally_Curated_Set.xlsx,real_evidence,Solanum lycopersicum,GABA,Succinic semialdehyde,0.0,,,,,0.0,,0.0,unassigned_stage,3.0,0.0,0.0,0.0,1,0.0,0.0,0.73,0.41000000000000003,0.85,0.3942,0.3689800923223725,17.07963758390394,0.36363636363636365,GABA transaminase 1 Aminotransferase GABA Succinic semialdehyde curated_family_function unassigned_stage,2
GABA transaminase 2,GABA transaminase 2,Aminotransferase,unassigned_stage,curated_family_function,1,Aminotransferase_Minimally_Curated_Set.xlsx,real_evidence,Solanum lycopersicum,GABA,Succinic semialdehyde,0.0,,,,,0.0,,0.0,unassigned_stage,3.0,0.0,0.0,0.0,1,0.0,0.0,0.73,0.41000000000000003,0.85,0.3942,0.3689800923223725,17.07963758390394,0.36363636363636365,GABA transaminase 2 Aminotransferase GABA Succinic semialdehyde curated_family_function unassigned_stage,2
GABA transaminase 3,GABA transaminase 3,Aminotransferase,unassigned_stage,curated_family_function,1,Aminotransferase_Minimally_Curated_Set.xlsx,real_evidence,Solanum lycopersicum,GABA,Succinic semialdehyde,0.0,,,,,0.0,,0.0,unassigned_stage,3.0,0.0,0.0,0.0,1,0.0,0.0,0.73,0.41000000000000003,0.85,0.3942,0.3689800923223725,17.07963758390394,0.36363636363636365,GABA transaminase 3 Aminotransferase GABA Succinic semialdehyde curated_family_function unassigned_stage,2
g-aminobutyrate transaminase,g-aminobutyrate transaminase,Aminotransferase,unassigned_stage,curated_family_function,1,Aminotransferase_Minimally_Curated_Set.xlsx,real_evidence,Arabidopsis thaliana,pyruvate; glyoxylate,alanine; glycine,0.0,,,,,0.0,,0.0,unassigned_stage,3.0,0.0,0.0,0.0,1,0.0,0.0,0.73,0.41000000000000003,0.85,0.3942,0.3689800923223725,17.07963758390394,0.36363636363636365,g-aminobutyrate transaminase Aminotransferase pyruvate; glyoxylate alanine; glycine curated_family_function unassigned_stage,2
g-aminobutyrate transaminase,g-aminobutyrate transaminase,Aminotransferase,unassigned_stage,curated_family_function,1,Aminotransferase_Minimally_Curated_Set.xlsx,real_evidence,Arabidopsis thaliana,GABA; pyruvate,succinic semialdehyde; alanine,0.0,,,,,0.0,,0.0,unassigned_stage,3.0,0.0,0.0,0.0,1,0.0,0.0,0.73,0.41000000000000003,0.85,0.3942,0.3689800923223725,17.07963758390394,0.36363636363636365,g-aminobutyrate transaminase Aminotransferase GABA; pyruvate succinic semialdehyde; alanine curated_family_function unassigned_stage,2
g-aminobutyrate transaminase,g-aminobutyrate transaminase,Aminotransferase,unassigned_stage,curated_family_function,1,Aminotransferase_Minimally_Curated_Set.xlsx,real_evidence,Arabidopsis thaliana,GABA; glyoxylate,succinic semialdehyde; glycine,0.0,,,,,0.0,,0.0,unassigned_stage,3.0,0.0,0.0,0.0,1,0.0,0.0,0.73,0.41000000000000003,0.85,0.3942,0.3689800923223725,17.07963758390394,0.36363636363636365,g-aminobutyrate transaminase Aminotransferase GABA; glyoxylate succinic semialdehyde; glycine curated_family_function unassigned_stage,2
g-aminobutyrate transaminase,g-aminobutyrate transaminase,Aminotransferase,unassigned_stage,curated_family_function,1,Aminotransferase_Minimally_Curated_Set.xlsx,real_evidence,Arabidopsis thaliana,alanine; succinic semialdehyde,GABA; pyruvate,0.0,,,,,0.0,,0.0,unassigned_stage,3.0,0.0,0.0,0.0,1,0.0,0.0,0.73,0.41000000000000003,0.85,0.3942,0.3689800923223725,17.07963758390394,0.36363636363636365,g-aminobutyrate transaminase Aminotransferase alanine; succinic semialdehyde GABA; pyruvate curated_family_function unassigned_stage,2
g-aminobutyrate transaminase,g-aminobutyrate transaminase,Aminotransferase,unassigned_stage,curated_family_function,1,Aminotransferase_Minimally_Curated_Set.xlsx,real_evidence,Arabidopsis thaliana,alanine; glyoxylate,GABA; glycine,0.0,,,,,0.0,,0.0,unassigned_stage,3.0,0.0,0.0,0.0,1,0.0,0.0,0.73,0.41000000000000003,0.85,0.3942,0.3689800923223725,17.07963758390394,0.36363636363636365,g-aminobutyrate transaminase Aminotransferase alanine; glyoxylate GABA; glycine curated_family_function unassigned_stage,2
Î³-aminobutyrate transaminase,Î³-aminobutyrate transaminase,Aminotransferase,unassigned_stage,curated_family_function,1,Aminotransferase_Minimally_Curated_Set.xlsx,real_evidence,Arabidopsis thaliana,GABA; pyruvate; glyoxylate,SSA; alanine; glycine,0.0,,,,,0.0,,0.0,unassigned_stage,3.0,0.0,0.0,0.0,1,0.0,0.0,0.73,0.41000000000000003,0.85,0.3942,0.3689800923223725,17.07963758390394,0.36363636363636365,Î³-aminobutyrate transaminase Aminotransferase GABA; pyruvate; glyoxylate SSA; alanine; glycine curated_family_function unassigned_stage,2
Î³-aminobutyrate transaminase,Î³-aminobutyrate transaminase,Aminotransferase,unassigned_stage,curated_family_function,1,Aminotransferase_Minimally_Curated_Set.xlsx,real_evidence,Arabidopsis thaliana,alanine; SSA; glyoxylate,pyruvate; GABA; glycine,0.0,,,,,0.0,,0.0,unassigned_stage,3.0,0.0,0.0,0.0,1,0.0,0.0,0.73,0.41000000000000003,0.85,0.3942,0.3689800923223725,17.07963758390394,0.36363636363636365,Î³-aminobutyrate transaminase Aminotransferase alanine; SSA; glyoxylate pyruvate; GABA; glycine curated_family_function unassigned_stage,2
PARENTAL ADVICE-1,PARENTAL ADVICE-1,Aminotransferase,unassigned_stage,curated_family_function,1,Aminotransferase_Minimally_Curated_Set.xlsx,real_evidence,Solanum melongena,L-glutamine; L-arginine; L-histidine; L-methionine; L-phenylalanine; L-serine; L-tyrosine,Tryptophan,0.0,,,,,0.0,,0.0,unassigned_stage,3.0,0.0,0.0,0.0,1,0.0,0.0,0.73,0.41000000000000003,0.85,0.3942,0.3689800923223725,17.07963758390394,0.36363636363636365,PARENTAL ADVICE-1 Aminotransferase L-glutamine; L-arginine; L-histidine; L-methionine; L-phenylalanine; L-serine; L-tyrosine Tryptophan curated_family_function unassigned_stage,2
PARENTAL ADVICE-1,PARENTAL ADVICE-1,Aminotransferase,unassigned_stage,curated_family_function,1,Aminotransferase_Minimally_Curated_Set.xlsx,real_evidence,Solanum melongena,Indole-3-pyruvic acid,Tryptophan,0.0,,,,,0.0,,0.0,unassigned_stage,3.0,0.0,0.0,0.0,1,0.0,0.0,0.73,0.41000000000000003,0.85,0.3942,0.3689800923223725,17.07963758390394,0.36363636363636365,PARENTAL ADVICE-1 Aminotransferase Indole-3-pyruvic acid Tryptophan curated_family_function unassigned_stage,2
PARENTAL ADVICE-1,PARENTAL ADVICE-1,Aminotransferase,unassigned_stage,curated_family_function,1,Aminotransferase_Minimally_Curated_Set.xlsx,real_evidence,Solanum melongena,indole-3-pyruvic acid,tryptophan,0.0,,,,,0.0,,0.0,unassigned_stage,3.0,0.0,0.0,0.0,1,0.0,0.0,0.73,0.41000000000000003,0.85,0.3942,0.3689800923223725,17.07963758390394,0.36363636363636365,PARENTAL ADVICE-1 Aminotransferase indole-3-pyruvic acid tryptophan curated_family_function unassigned_stage,2
Prephenate Aminotransferase from Arabidopsis thaliana,Prephenate Aminotransferase from Arabidopsis thaliana,Aminotransferase,unassigned_stage,curated_family_function,1,Aminotransferase_Minimally_Curated_Set.xlsx,real_evidence,Arabidopsis thaliana,Prephenate; prephenate,Arogenate; arogenate,0.0,,,,,0.0,,0.0,unassigned_stage,3.0,0.0,0.0,0.0,1,0.0,0.0,0.73,0.41000000000000003,0.85,0.3942,0.3689800923223725,17.07963758390394,0.36363636363636365,Prephenate Aminotransferase from Arabidopsis thaliana Aminotransferase Prephenate; prephenate Arogenate; arogenate curated_family_function unassigned_stage,2
prephenate aminotransferase,prephenate aminotransferase,Aminotransferase,unassigned_stage,curated_family_function,1,Aminotransferase_Minimally_Curated_Set.xlsx,real_evidence,Antirrhinum majus,prephenate,arogenate,0.0,,,,,0.0,,0.0,unassigned_stage,3.0,0.0,0.0,0.0,1,0.0,0.0,0.73,0.41000000000000003,0.85,0.3942,0.3689800923223725,17.07963758390394,0.36363636363636365,prephenate aminotransferase Aminotransferase prephenate arogenate curated_family_function unassigned_stage,2
aspartate aminotransferase-P2,aspartate aminotransferase-P2,Aminotransferase,unassigned_stage,curated_family_function,1,Aminotransferase_Minimally_Curated_Set.xlsx,real_evidence,Lupinus angustifolius,aspartate; 2-oxoglutarate,glutamate; oxaloacetate,0.0,,,,,0.0,,0.0,unassigned_stage,3.0,0.0,0.0,0.0,1,0.0,0.0,0.73,0.41000000000000003,0.85,0.3942,0.3689800923223725,17.07963758390394,0.36363636363636365,aspartate aminotransferase-P2 Aminotransferase aspartate; 2-oxoglutarate glutamate; oxaloacetate curated_family_function unassigned_stage,2
Branched-chain aminotransferase 1,Branched-chain aminotransferase 1,Aminotransferase,unassigned_stage,curated_family_function,1,Aminotransferase_Minimally_Curated_Set.xlsx,real_evidence,Humulus lupulus,Leucine,2-ketoisocaproate,0.0,,,,,0.0,,0.0,unassigned_stage,3.0,0.0,0.0,0.0,1,0.0,0.0,0.73,0.41000000000000003,0.85,0.3942,0.3689800923223725,17.07963758390394,0.36363636363636365,Branched-chain aminotransferase 1 Aminotransferase Leucine 2-ketoisocaproate curated_family_function unassigned_stage,2
Branched-chain aminotransferase 1,Branched-chain aminotransferase 1,Aminotransferase,unassigned_stage,curated_family_function,1,Aminotransferase_Minimally_Curated_Set.xlsx,real_evidence,Humulus lupulus,Valine,2-ketoisovalerate,0.0,,,,,0.0,,0.0,unassigned_stage,3.0,0.0,0.0,0.0,1,0.0,0.0,0.73,0.41000000000000003,0.85,0.3942,0.3689800923223725,17.07963758390394,0.36363636363636365,Branched-chain aminotransferase 1 Aminotransferase Valine 2-ketoisovalerate curated_family_function unassigned_stage,2
Branched-chain aminotransferase 1,Branched-chain aminotransferase 1,Aminotransferase,unassigned_stage,curated_family_function,1,Aminotransferase_Minimally_Curated_Set.xlsx,real_evidence,Humulus lupulus,Isoleucine,2-keto-3-methylvalerate,0.0,,,,,0.0,,0.0,unassigned_stage,3.0,0.0,0.0,0.0,1,0.0,0.0,0.73,0.41000000000000003,0.85,0.3942,0.3689800923223725,17.07963758390394,0.36363636363636365,Branched-chain aminotransferase 1 Aminotransferase Isoleucine 2-keto-3-methylvalerate curated_family_function unassigned_stage,2
Branched-chain aminotransferase 1,Branched-chain aminotransferase 1,Aminotransferase,unassigned_stage,curated_family_function,1,Aminotransferase_Minimally_Curated_Set.xlsx,real_evidence,Humulus lupulus,Leucine; Valine; Isoleucine,Isovaleryl-CoA; Isobutyryl-CoA; 2-Methylbutyryl-CoA,0.0,,,,,0.0,,0.0,unassigned_stage,3.0,0.0,0.0,0.0,1,0.0,0.0,0.73,0.41000000000000003,0.85,0.3942,0.3689800923223725,17.07963758390394,0.36363636363636365,Branched-chain aminotransferase 1 Aminotransferase Leucine; Valine; Isoleucine Isovaleryl-CoA; Isobutyryl-CoA; 2-Methylbutyryl-CoA curated_family_function unassigned_stage,2
Branched-chain aminotransferase 2,Branched-chain aminotransferase 2,Aminotransferase,unassigned_stage,curated_family_function,1,Aminotransferase_Minimally_Curated_Set.xlsx,real_evidence,Humulus lupulus,Leucine,2-ketoisocaproate,0.0,,,,,0.0,,0.0,unassigned_stage,3.0,0.0,0.0,0.0,1,0.0,0.0,0.73,0.41000000000000003,0.85,0.3942,0.3689800923223725,17.07963758390394,0.36363636363636365,Branched-chain aminotransferase 2 Aminotransferase Leucine 2-ketoisocaproate curated_family_function unassigned_stage,2
Branched-chain aminotransferase 2,Branched-chain aminotransferase 2,Aminotransferase,unassigned_stage,curated_family_function,1,Aminotransferase_Minimally_Curated_Set.xlsx,real_evidence,Humulus lupulus,Valine,2-ketoisovalerate,0.0,,,,,0.0,,0.0,unassigned_stage,3.0,0.0,0.0,0.0,1,0.0,0.0,0.73,0.41000000000000003,0.85,0.3942,0.3689800923223725,17.07963758390394,0.36363636363636365,Branched-chain aminotransferase 2 Aminotransferase Valine 2-ketoisovalerate curated_family_function unassigned_stage,2
Branched-chain aminotransferase 2,Branched-chain aminotransferase 2,Aminotransferase,unassigned_stage,curated_family_function,1,Aminotransferase_Minimally_Curated_Set.xlsx,real_evidence,Humulus lupulus,Isoleucine,2-keto-3-methylvalerate,0.0,,,,,0.0,,0.0,unassigned_stage,3.0,0.0,0.0,0.0,1,0.0,0.0,0.73,0.41000000000000003,0.85,0.3942,0.3689800923223725,17.07963758390394,0.36363636363636365,Branched-chain aminotransferase 2 Aminotransferase Isoleucine 2-keto-3-methylvalerate curated_family_function unassigned_stage,2
Branched-chain aminotransferase 2,Branched-chain aminotransferase 2,Aminotransferase,unassigned_stage,curated_family_function,1,Aminotransferase_Minimally_Curated_Set.xlsx,real_evidence,Humulus lupulus,Leucine; Valine; Isoleucine,Isovaleryl-CoA; Isobutyryl-CoA; 2-Methylbutyryl-CoA,0.0,,,,,0.0,,0.0,unassigned_stage,3.0,0.0,0.0,0.0,1,0.0,0.0,0.73,0.41000000000000003,0.85,0.3942,0.3689800923223725,17.07963758390394,0.36363636363636365,Branched-chain aminotransferase 2 Aminotransferase Leucine; Valine; Isoleucine Isovaleryl-CoA; Isobutyryl-CoA; 2-Methylbutyryl-CoA curated_family_function unassigned_stage,2
Prokaryotic-type aspartate aminotransferase; aspartate aminotransferase,Prokaryotic-type aspartate aminotransferase; aspartate aminotransferase,Aminotransferase,unassigned_stage,curated_family_function,1,Aminotransferase_Minimally_Curated_Set.xlsx,real_evidence,Pinus pinaster,aspartate; 2-oxoglutarate,glutamate; oxaloacetate,0.0,,,,,0.0,,0.0,unassigned_stage,3.0,0.0,0.0,0.0,1,0.0,0.0,0.73,0.41000000000000003,0.85,0.3942,0.3689800923223725,17.07963758390394,0.36363636363636365,Prokaryotic-type aspartate aminotransferase; aspartate aminotransferase Aminotransferase aspartate; 2-oxoglutarate glutamate; oxaloacetate curated_family_function unassigned_stage,2
Prokaryotic-type aspartate aminotransferase; aspartate aminotransferase,Prokaryotic-type aspartate aminotransferase; aspartate aminotransferase,Aminotransferase,unassigned_stage,curated_family_function,1,Aminotransferase_Minimally_Curated_Set.xlsx,real_evidence,Arabidopsis thaliana,aspartate; 2-oxoglutarate,glutamate; oxaloacetate,0.0,,,,,0.0,,0.0,unassigned_stage,3.0,0.0,0.0,0.0,1,0.0,0.0,0.73,0.41000000000000003,0.85,0.3942,0.3689800923223725,17.07963758390394,0.36363636363636365,Prokaryotic-type aspartate aminotransferase; aspartate aminotransferase Aminotransferase aspartate; 2-oxoglutarate glutamate; oxaloacetate curated_family_function unassigned_stage,2
prephenate aminotransferase,prephenate aminotransferase,Aminotransferase,unassigned_stage,curated_family_function,1,Aminotransferase_Minimally_Curated_Set.xlsx,real_evidence,Solanum lycopersicum,prephenate;Asp;Glu,arogenate;oxaloacetate;2-oxoglutarate,0.0,,,,,0.0,,0.0,unassigned_stage,3.0,0.0,0.0,0.0,1,0.0,0.0,0.73,0.41000000000000003,0.85,0.3942,0.3689800923223725,17.07963758390394,0.36363636363636365,prephenate aminotransferase Aminotransferase prephenate;Asp;Glu arogenate;oxaloacetate;2-oxoglutarate curated_family_function unassigned_stage,2
prephenate aminotransferase,prephenate aminotransferase,Aminotransferase,unassigned_stage,curated_family_function,1,Aminotransferase_Minimally_Curated_Set.xlsx,real_evidence,Arabidopsis thaliana,prephenate;Asp;Glu,arogenate;oxaloacetate;2-oxoglutarate,0.0,,,,,0.0,,0.0,unassigned_stage,3.0,0.0,0.0,0.0,1,0.0,0.0,0.73,0.41000000000000003,0.85,0.3942,0.3689800923223725,17.07963758390394,0.36363636363636365,prephenate aminotransferase Aminotransferase prephenate;Asp;Glu arogenate;oxaloacetate;2-oxoglutarate curated_family_function unassigned_stage,2
Alanine aminotransferase 2,Alanine aminotransferase 2,Aminotransferase,unassigned_stage,curated_family_function,1,Aminotransferase_Minimally_Curated_Set.xlsx,real_evidence,Arabidopsis thaliana,glutamate;glyoxylate,glutamate;pyruvate,0.0,,,,,0.0,,0.0,unassigned_stage,3.0,0.0,0.0,0.0,1,0.0,0.0,0.73,0.41000000000000003,0.85,0.3942,0.3689800923223725,17.07963758390394,0.36363636363636365,Alanine aminotransferase 2 Aminotransferase glutamate;glyoxylate glutamate;pyruvate curated_family_function unassigned_stage,2
Alanine aminotransferase,Alanine aminotransferase,Aminotransferase,unassigned_stage,curated_family_function,1,Aminotransferase_Minimally_Curated_Set.xlsx,real_evidence,Hordeum vulgare,alanine;2-oxoglutarate,glutamate;pyruvate,0.0,,,,,0.0,,0.0,unassigned_stage,3.0,0.0,0.0,0.0,1,0.0,0.0,0.73,0.41000000000000003,0.85,0.3942,0.3689800923223725,17.07963758390394,0.36363636363636365,Alanine aminotransferase Aminotransferase alanine;2-oxoglutarate glutamate;pyruvate curated_family_function unassigned_stage,2
Tyrosine Aminotransferase,Tyrosine Aminotransferase,Aminotransferase,unassigned_stage,curated_family_function,1,Aminotransferase_Minimally_Curated_Set.xlsx,real_evidence,Papaver somniferum,L-Tyrosine,4-hydroxyphenylpyruvate,0.0,,,,,0.0,,0.0,unassigned_stage,3.0,0.0,0.0,0.0,1,0.0,0.0,0.73,0.41000000000000003,0.85,0.3942,0.3689800923223725,17.07963758390394,0.36363636363636365,Tyrosine Aminotransferase Aminotransferase L-Tyrosine 4-hydroxyphenylpyruvate curated_family_function unassigned_stage,2
Tyrosine Aminotransferase,Tyrosine Aminotransferase,Aminotransferase,unassigned_stage,curated_family_function,1,Aminotransferase_Minimally_Curated_Set.xlsx,real_evidence,Papaver somniferum,L-Phenylalanine,phenylpyruvate,0.0,,,,,0.0,,0.0,unassigned_stage,3.0,0.0,0.0,0.0,1,0.0,0.0,0.73,0.41000000000000003,0.85,0.3942,0.3689800923223725,17.07963758390394,0.36363636363636365,Tyrosine Aminotransferase Aminotransferase L-Phenylalanine phenylpyruvate curated_family_function unassigned_stage,2
Tyrosine Aminotransferase,Tyrosine Aminotransferase,Aminotransferase,unassigned_stage,curated_family_function,1,Aminotransferase_Minimally_Curated_Set.xlsx,real_evidence,Papaver somniferum,L-Tryptophan,indole-3-pyruvate,0.0,,,,,0.0,,0.0,unassigned_stage,3.0,0.0,0.0,0.0,1,0.0,0.0,0.73,0.41000000000000003,0.85,0.3942,0.3689800923223725,17.07963758390394,0.36363636363636365,Tyrosine Aminotransferase Aminotransferase L-Tryptophan indole-3-pyruvate curated_family_function unassigned_stage,2
Tyrosine aminotransferase,Tyrosine aminotransferase,Aminotransferase,unassigned_stage,curated_family_function,1,Aminotransferase_Minimally_Curated_Set.xlsx,real_evidence,Papaver somniferum,L-Tyr;alpha-ketoglutarate,4-hydroxyphenylpyruvic acid;L-glutamate,0.0,,,,,0.0,,0.0,unassigned_stage,3.0,0.0,0.0,0.0,1,0.0,0.0,0.73,0.41000000000000003,0.85,0.3942,0.3689800923223725,17.07963758390394,0.36363636363636365,Tyrosine aminotransferase Aminotransferase L-Tyr;alpha-ketoglutarate 4-hydroxyphenylpyruvic acid;L-glutamate curated_family_function unassigned_stage,2
Tyrosine aminotransferase,Tyrosine aminotransferase,Aminotransferase,unassigned_stage,curated_family_function,1,Aminotransferase_Minimally_Curated_Set.xlsx,real_evidence,Papaver somniferum,L-Tyr,4-hydroxyphenylpyruvic acid,0.0,,,,,0.0,,0.0,unassigned_stage,3.0,0.0,0.0,0.0,1,0.0,0.0,0.73,0.41000000000000003,0.85,0.3942,0.3689800923223725,17.07963758390394,0.36363636363636365,Tyrosine aminotransferase Aminotransferase L-Tyr 4-hydroxyphenylpyruvic acid curated_family_function unassigned_stage,2
Tyrosine aminotransferase,Tyrosine aminotransferase,Aminotransferase,unassigned_stage,curated_family_function,1,Aminotransferase_Minimally_Curated_Set.xlsx,real_evidence,Papaver somniferum,L-Tyr,4-HPP,0.0,,,,,0.0,,0.0,unassigned_stage,3.0,0.0,0.0,0.0,1,0.0,0.0,0.73,0.41000000000000003,0.85,0.3942,0.3689800923223725,17.07963758390394,0.36363636363636365,Tyrosine aminotransferase Aminotransferase L-Tyr 4-HPP curated_family_function unassigned_stage,2
Tyrosine aminotransferase,Tyrosine aminotransferase,Aminotransferase,unassigned_stage,curated_family_function,1,Aminotransferase_Minimally_Curated_Set.xlsx,real_evidence,Papaver somniferum,L-Tyr,4-hydroxyphenylacetaldehyde,0.0,,,,,0.0,,0.0,unassigned_stage,3.0,0.0,0.0,0.0,1,0.0,0.0,0.73,0.41000000000000003,0.85,0.3942,0.3689800923223725,17.07963758390394,0.36363636363636365,Tyrosine aminotransferase Aminotransferase L-Tyr 4-hydroxyphenylacetaldehyde curated_family_function unassigned_stage,2
