target_enzyme,target_family,stage,compound_a,compound_b,dose_relative,predicted_inhibition,weed_activity_remaining,crop_activity_remaining,selectivity_index,model,evidence_class
cellulase,CAZy,germination,2-(2-hydroxyethylthio)ethanesulfonate,"3,4-dihydroxybenzoate",0.1,0.050997672025994034,0.949002327974006,0.9921360121002962,1.0454516104490228,Hill dose-response with Bliss/synergy-derived maximum effect,pseudo_lab_model_inference
cellulase,CAZy,germination,2-(2-hydroxyethylthio)ethanesulfonate,"3,4-dihydroxybenzoate",0.3,0.16535565515710554,0.8346443448428944,0.9745016817504875,1.1675651884203666,Hill dose-response with Bliss/synergy-derived maximum effect,pseudo_lab_model_inference
cellulase,CAZy,germination,2-(2-hydroxyethylthio)ethanesulfonate,"3,4-dihydroxybenzoate",1.0,0.43522784391979663,0.5647721560802034,0.9328866130113769,1.6517928565849793,Hill dose-response with Bliss/synergy-derived maximum effect,pseudo_lab_model_inference
cellulase,CAZy,germination,2-(2-hydroxyethylthio)ethanesulfonate,"3,4-dihydroxybenzoate",3.0,0.6855796408053658,0.3144203591946342,0.894281644918447,2.8442230878721944,Hill dose-response with Bliss/synergy-derived maximum effect,pseudo_lab_model_inference
cellulase,CAZy,germination,2-(2-hydroxyethylthio)ethanesulfonate,"3,4-dihydroxybenzoate",10.0,0.8152533582967874,0.18474664170321264,0.8742855842209635,4.732348995146904,Hill dose-response with Bliss/synergy-derived maximum effect,pseudo_lab_model_inference
EPSP synthase,EPSPS,early_vegetative,2-(2-hydroxyethylthio)ethanesulfonate,"3,4-dihydroxybenzoate",0.0,0.0,1.0,1.0,1.0,Hill dose-response with Bliss/synergy-derived maximum effect,pseudo_lab_model_inference
EPSP synthase,EPSPS,early_vegetative,2-(2-hydroxyethylthio)ethanesulfonate,"3,4-dihydroxybenzoate",0.03,0.012465935353437754,0.9875340646465622,0.9980777168666061,1.0106767478687608,Hill dose-response with Bliss/synergy-derived maximum effect,pseudo_lab_model_inference
EPSP synthase,EPSPS,early_vegetative,2-(2-hydroxyethylthio)ethanesulfonate,"3,4-dihydroxybenzoate",0.1,0.050997672025994034,0.949002327974006,0.9921360121002962,1.0454516104490228,Hill dose-response with Bliss/synergy-derived maximum effect,pseudo_lab_model_inference
EPSP synthase,EPSPS,early_vegetative,2-(2-hydroxyethylthio)ethanesulfonate,"3,4-dihydroxybenzoate",0.3,0.16535565515710554,0.8346443448428944,0.9745016817504875,1.1675651884203666,Hill dose-response with Bliss/synergy-derived maximum effect,pseudo_lab_model_inference
EPSP synthase,EPSPS,early_vegetative,2-(2-hydroxyethylthio)ethanesulfonate,"3,4-dihydroxybenzoate",1.0,0.43522784391979663,0.5647721560802034,0.9328866130113769,1.6517928565849793,Hill dose-response with Bliss/synergy-derived maximum effect,pseudo_lab_model_inference
EPSP synthase,EPSPS,early_vegetative,2-(2-hydroxyethylthio)ethanesulfonate,"3,4-dihydroxybenzoate",3.0,0.6855796408053658,0.3144203591946342,0.894281644918447,2.8442230878721944,Hill dose-response with Bliss/synergy-derived maximum effect,pseudo_lab_model_inference
EPSP synthase,EPSPS,early_vegetative,2-(2-hydroxyethylthio)ethanesulfonate,"3,4-dihydroxybenzoate",10.0,0.8152533582967874,0.18474664170321264,0.8742855842209635,4.732348995146904,Hill dose-response with Bliss/synergy-derived maximum effect,pseudo_lab_model_inference
GH13_11,GH,germination,2-hydroxyethylphosphonate,2-(2-hydroxyethylthio)ethanesulfonate,0.0,0.0,1.0,1.0,1.0,Hill dose-response with Bliss/synergy-derived maximum effect,pseudo_lab_model_inference
GH13_11,GH,germination,2-hydroxyethylphosphonate,2-(2-hydroxyethylthio)ethanesulfonate,0.03,0.004503964948437749,0.9954960350515623,0.9993130511102912,1.0038342855464324,Hill dose-response with Bliss/synergy-derived maximum effect,pseudo_lab_model_inference
GH13_11,GH,germination,2-hydroxyethylphosphonate,2-(2-hydroxyethylthio)ethanesulfonate,0.1,0.02621773148356586,0.9737822685164341,0.9960012474032318,1.0228171939510138,Hill dose-response with Bliss/synergy-derived maximum effect,pseudo_lab_model_inference
GH13_11,GH,germination,2-hydroxyethylphosphonate,2-(2-hydroxyethylthio)ethanesulfonate,0.3,0.11862220724717397,0.881377792752826,0.9819076314988829,1.1140598725911506,Hill dose-response with Bliss/synergy-derived maximum effect,pseudo_lab_model_inference
GH13_11,GH,germination,2-hydroxyethylphosphonate,2-(2-hydroxyethylthio)ethanesulfonate,1.0,0.4143201416634848,0.5856798583365153,0.9368075097035478,1.59952147298411,Hill dose-response with Bliss/synergy-derived maximum effect,pseudo_lab_model_inference
GH13_11,GH,germination,2-hydroxyethylphosphonate,2-(2-hydroxyethylthio)ethanesulfonate,3.0,0.6937492675652887,0.30625073243471135,0.8941887215939468,2.91979292420003,Hill dose-response with Bliss/synergy-derived maximum effect,pseudo_lab_model_inference
GH13_11,GH,germination,2-hydroxyethylphosphonate,2-(2-hydroxyethylthio)ethanesulfonate,10.0,0.8034790538023348,0.19652094619766525,0.8774526333502615,4.464931857531867,Hill dose-response with Bliss/synergy-derived maximum effect,pseudo_lab_model_inference
acetolactate synthase,ALS/AHAS,seedling_emergence,(2-amino-1-hydroxyethyl)phosphonate,"3,4-dihydroxybenzoate",0.0,0.0,1.0,1.0,1.0,Hill dose-response with Bliss/synergy-derived maximum effect,pseudo_lab_model_inference
acetolactate synthase,ALS/AHAS,seedling_emergence,(2-amino-1-hydroxyethyl)phosphonate,"3,4-dihydroxybenzoate",0.03,0.0025829873191779646,0.9974170126808221,0.9996016959163793,1.0021903408582187,Hill dose-response with Bliss/synergy-derived maximum effect,pseudo_lab_model_inference
acetolactate synthase,ALS/AHAS,seedling_emergence,(2-amino-1-hydroxyethyl)phosphonate,"3,4-dihydroxybenzoate",0.1,0.018875236351757693,0.9811247636482423,0.9970893841938783,1.0162717537434003,Hill dose-response with Bliss/synergy-derived maximum effect,pseudo_lab_model_inference
acetolactate synthase,ALS/AHAS,seedling_emergence,(2-amino-1-hydroxyethyl)phosphonate,"3,4-dihydroxybenzoate",0.3,0.10624913620068836,0.8937508637993117,0.9836160772003416,1.1005483933397449,Hill dose-response with Bliss/synergy-derived maximum effect,pseudo_lab_model_inference
acetolactate synthase,ALS/AHAS,seedling_emergence,(2-amino-1-hydroxyethyl)phosphonate,"3,4-dihydroxybenzoate",1.0,0.4507387624839481,0.5492612375160519,0.9304947846973393,1.6940842009994306,Hill dose-response with Bliss/synergy-derived maximum effect,pseudo_lab_model_inference
acetolactate synthase,ALS/AHAS,seedling_emergence,(2-amino-1-hydroxyethyl)phosphonate,"3,4-dihydroxybenzoate",3.0,0.7807915326444884,0.21920846735551158,0.8795996969866058,4.0126173390924444,Hill dose-response with Bliss/synergy-derived maximum effect,pseudo_lab_model_inference
acetolactate synthase,ALS/AHAS,seedling_emergence,(2-amino-1-hydroxyethyl)phosphonate,"3,4-dihydroxybenzoate",10.0,0.888169800746113,0.11183019925388704,0.8630416587959232,7.717429321900499,Hill dose-response with Bliss/synergy-derived maximum effect,pseudo_lab_model_inference
EPSP synthase,EPSPS,early_vegetative,(2-amino-1-hydroxyethyl)phosphonate,"3,4-dihydroxybenzoate",0.0,0.0,1.0,1.0,1.0,Hill dose-response with Bliss/synergy-derived maximum effect,pseudo_lab_model_inference
EPSP synthase,EPSPS,early_vegetative,(2-amino-1-hydroxyethyl)phosphonate,"3,4-dihydroxybenzoate",0.03,0.0025829873191779646,0.9974170126808221,0.9996016959163793,1.0021903408582187,Hill dose-response with Bliss/synergy-derived maximum effect,pseudo_lab_model_inference
EPSP synthase,EPSPS,early_vegetative,(2-amino-1-hydroxyethyl)phosphonate,"3,4-dihydroxybenzoate",0.1,0.018875236351757693,0.9811247636482423,0.9970893841938783,1.0162717537434003,Hill dose-response with Bliss/synergy-derived maximum effect,pseudo_lab_model_inference
EPSP synthase,EPSPS,early_vegetative,(2-amino-1-hydroxyethyl)phosphonate,"3,4-dihydroxybenzoate",0.3,0.10624913620068836,0.8937508637993117,0.9836160772003416,1.1005483933397449,Hill dose-response with Bliss/synergy-derived maximum effect,pseudo_lab_model_inference
EPSP synthase,EPSPS,early_vegetative,(2-amino-1-hydroxyethyl)phosphonate,"3,4-dihydroxybenzoate",1.0,0.4507387624839481,0.5492612375160519,0.9304947846973393,1.6940842009994306,Hill dose-response with Bliss/synergy-derived maximum effect,pseudo_lab_model_inference
EPSP synthase,EPSPS,early_vegetative,(2-amino-1-hydroxyethyl)phosphonate,"3,4-dihydroxybenzoate",3.0,0.7807915326444884,0.21920846735551158,0.8795996969866058,4.0126173390924444,Hill dose-response with Bliss/synergy-derived maximum effect,pseudo_lab_model_inference
EPSP synthase,EPSPS,early_vegetative,(2-amino-1-hydroxyethyl)phosphonate,"3,4-dihydroxybenzoate",10.0,0.888169800746113,0.11183019925388704,0.8630416587959232,7.717429321900499,Hill dose-response with Bliss/synergy-derived maximum effect,pseudo_lab_model_inference
cellulase,CAZy,germination,(2-amino-1-hydroxyethyl)phosphonate,"3,4-dihydroxybenzoate",0.0,0.0,1.0,1.0,1.0,Hill dose-response with Bliss/synergy-derived maximum effect,pseudo_lab_model_inference
cellulase,CAZy,germination,(2-amino-1-hydroxyethyl)phosphonate,"3,4-dihydroxybenzoate",0.03,0.0025829873191779646,0.9974170126808221,0.9996016959163793,1.0021903408582187,Hill dose-response with Bliss/synergy-derived maximum effect,pseudo_lab_model_inference
cellulase,CAZy,germination,(2-amino-1-hydroxyethyl)phosphonate,"3,4-dihydroxybenzoate",0.1,0.018875236351757693,0.9811247636482423,0.9970893841938783,1.0162717537434003,Hill dose-response with Bliss/synergy-derived maximum effect,pseudo_lab_model_inference
cellulase,CAZy,germination,(2-amino-1-hydroxyethyl)phosphonate,"3,4-dihydroxybenzoate",0.3,0.10624913620068836,0.8937508637993117,0.9836160772003416,1.1005483933397449,Hill dose-response with Bliss/synergy-derived maximum effect,pseudo_lab_model_inference
cellulase,CAZy,germination,(2-amino-1-hydroxyethyl)phosphonate,"3,4-dihydroxybenzoate",1.0,0.4507387624839481,0.5492612375160519,0.9304947846973393,1.6940842009994306,Hill dose-response with Bliss/synergy-derived maximum effect,pseudo_lab_model_inference
cellulase,CAZy,germination,(2-amino-1-hydroxyethyl)phosphonate,"3,4-dihydroxybenzoate",3.0,0.7807915326444884,0.21920846735551158,0.8795996969866058,4.0126173390924444,Hill dose-response with Bliss/synergy-derived maximum effect,pseudo_lab_model_inference
cellulase,CAZy,germination,(2-amino-1-hydroxyethyl)phosphonate,"3,4-dihydroxybenzoate",10.0,0.888169800746113,0.11183019925388704,0.8630416587959232,7.717429321900499,Hill dose-response with Bliss/synergy-derived maximum effect,pseudo_lab_model_inference
GH13_11,GH,germination,2-hydroxyethylphosphonate,(2-amino-1-hydroxyethyl)phosphonate,0.0,0.0,1.0,1.0,1.0,Hill dose-response with Bliss/synergy-derived maximum effect,pseudo_lab_model_inference
GH13_11,GH,germination,2-hydroxyethylphosphonate,(2-amino-1-hydroxyethyl)phosphonate,0.03,0.007649228213112643,0.9923507717868874,0.9988333326550534,1.0065325296784857,Hill dose-response with Bliss/synergy-derived maximum effect,pseudo_lab_model_inference
GH13_11,GH,germination,2-hydroxyethylphosphonate,(2-amino-1-hydroxyethyl)phosphonate,0.1,0.03703061625913298,0.962969383740867,0.9943520562402985,1.0325894810669043,Hill dose-response with Bliss/synergy-derived maximum effect,pseudo_lab_model_inference
GH13_11,GH,germination,2-hydroxyethylphosphonate,(2-amino-1-hydroxyethyl)phosphonate,0.3,0.14086790341047808,0.8591320965895219,0.9785146973941268,1.1389572119101536,Hill dose-response with Bliss/synergy-derived maximum effect,pseudo_lab_model_inference
GH13_11,GH,germination,2-hydroxyethylphosphonate,(2-amino-1-hydroxyethyl)phosphonate,1.0,0.4258816494607998,0.5741183505392002,0.9350441378665889,1.6286609494164652,Hill dose-response with Bliss/synergy-derived maximum effect,pseudo_lab_model_inference
GH13_11,GH,germination,2-hydroxyethylphosphonate,(2-amino-1-hydroxyethyl)phosphonate,3.0,0.6961988167844526,0.3038011832155474,0.8938151140868602,2.9421054408886125,Hill dose-response with Bliss/synergy-derived maximum effect,pseudo_lab_model_inference
GH13_11,GH,germination,2-hydroxyethylphosphonate,(2-amino-1-hydroxyethyl)phosphonate,10.0,0.8204907269998373,0.17950927300016273,0.8748579972576412,4.873608937499559,Hill dose-response with Bliss/synergy-derived maximum effect,pseudo_lab_model_inference
hydroxycinnamoyl-CoA:shikimate hydroxycinnamoyl transferase 1,BAHD acyltransferase,early_vegetative,2-hydroxyethylphosphonate,4-hydroxybenzoate,0.0,0.0,1.0,1.0,1.0,Hill dose-response with Bliss/synergy-derived maximum effect,pseudo_lab_model_inference
hydroxycinnamoyl-CoA:shikimate hydroxycinnamoyl transferase 1,BAHD acyltransferase,early_vegetative,2-hydroxyethylphosphonate,4-hydroxybenzoate,0.03,0.00333523307770315,0.9966647669222969,0.9994856974539469,1.0028303704768866,Hill dose-response with Bliss/synergy-derived maximum effect,pseudo_lab_model_inference
hydroxycinnamoyl-CoA:shikimate hydroxycinnamoyl transferase 1,BAHD acyltransferase,early_vegetative,2-hydroxyethylphosphonate,4-hydroxybenzoate,0.1,0.02188822719750359,0.9781117728024964,0.9966247723280506,1.0189272842228558,Hill dose-response with Bliss/synergy-derived maximum effect,pseudo_lab_model_inference
hydroxycinnamoyl-CoA:shikimate hydroxycinnamoyl transferase 1,BAHD acyltransferase,early_vegetative,2-hydroxyethylphosphonate,4-hydroxybenzoate,0.3,0.11132584887348868,0.8886741511265113,0.9828332334852633,1.105954564155369,Hill dose-response with Bliss/synergy-derived maximum effect,pseudo_lab_model_inference
hydroxycinnamoyl-CoA:shikimate hydroxycinnamoyl transferase 1,BAHD acyltransferase,early_vegetative,2-hydroxyethylphosphonate,4-hydroxybenzoate,1.0,0.43406149503850966,0.5659385049614903,0.9330664673679561,1.6487064569523278,Hill dose-response with Bliss/synergy-derived maximum effect,pseudo_lab_model_inference
hydroxycinnamoyl-CoA:shikimate hydroxycinnamoyl transferase 1,BAHD acyltransferase,early_vegetative,2-hydroxyethylphosphonate,4-hydroxybenzoate,3.0,0.7466888741818608,0.2533111258181392,0.8848584251371994,3.4931684199787965,Hill dose-response with Bliss/synergy-derived maximum effect,pseudo_lab_model_inference
hydroxycinnamoyl-CoA:shikimate hydroxycinnamoyl transferase 1,BAHD acyltransferase,early_vegetative,2-hydroxyethylphosphonate,4-hydroxybenzoate,10.0,0.8593075437148282,0.1406924562851718,0.8674923019534475,6.16587644326227,Hill dose-response with Bliss/synergy-derived maximum effect,pseudo_lab_model_inference
hydroxycinnamate-CoA shikimate transferase,BAHD acyltransferase,early_vegetative,2-hydroxyethylphosphonate,"3,4-dihydroxybenzoate",0.0,0.0,1.0,1.0,1.0,Hill dose-response with Bliss/synergy-derived maximum effect,pseudo_lab_model_inference
hydroxycinnamate-CoA shikimate transferase,BAHD acyltransferase,early_vegetative,2-hydroxyethylphosphonate,"3,4-dihydroxybenzoate",0.03,0.004745586236287728,0.9952544137637123,0.9992682169350761,1.0040329418446736,Hill dose-response with Bliss/synergy-derived maximum effect,pseudo_lab_model_inference
hydroxycinnamate-CoA shikimate transferase,BAHD acyltransferase,early_vegetative,2-hydroxyethylphosphonate,"3,4-dihydroxybenzoate",0.1,0.02744197426990713,0.9725580257300929,0.9957683685346944,1.0238652524482308,Hill dose-response with Bliss/synergy-derived maximum effect,pseudo_lab_model_inference
hydroxycinnamate-CoA shikimate transferase,BAHD acyltransferase,early_vegetative,2-hydroxyethylphosphonate,"3,4-dihydroxybenzoate",0.3,0.1236803900163488,0.8763196099836512,0.9809281276599557,1.1193725628007527,Hill dose-response with Bliss/synergy-derived maximum effect,pseudo_lab_model_inference
hydroxycinnamate-CoA shikimate transferase,BAHD acyltransferase,early_vegetative,2-hydroxyethylphosphonate,"3,4-dihydroxybenzoate",1.0,0.43370693924865417,0.5662930607513459,0.9331211408918725,1.6477707490426012,Hill dose-response with Bliss/synergy-derived maximum effect,pseudo_lab_model_inference
hydroxycinnamate-CoA shikimate transferase,BAHD acyltransferase,early_vegetative,2-hydroxyethylphosphonate,"3,4-dihydroxybenzoate",3.0,0.732402303940206,0.267597696059794,0.8870614554137849,3.3149069236215447,Hill dose-response with Bliss/synergy-derived maximum effect,pseudo_lab_model_inference
hydroxycinnamate-CoA shikimate transferase,BAHD acyltransferase,early_vegetative,2-hydroxyethylphosphonate,"3,4-dihydroxybenzoate",10.0,0.8520058615632419,0.14799413843675813,0.8686182423700668,5.869274631719625,Hill dose-response with Bliss/synergy-derived maximum effect,pseudo_lab_model_inference
caffeoyl shikimate esterase,BAHD acyltransferase,early_vegetative,2-hydroxyethylphosphonate,"3,4-dihydroxybenzoate",0.0,0.0,1.0,1.0,1.0,Hill dose-response with Bliss/synergy-derived maximum effect,pseudo_lab_model_inference
caffeoyl shikimate esterase,BAHD acyltransferase,early_vegetative,2-hydroxyethylphosphonate,"3,4-dihydroxybenzoate",0.03,0.004745586236287728,0.9952544137637123,0.9992682169350761,1.0040329418446736,Hill dose-response with Bliss/synergy-derived maximum effect,pseudo_lab_model_inference
caffeoyl shikimate esterase,BAHD acyltransferase,early_vegetative,2-hydroxyethylphosphonate,"3,4-dihydroxybenzoate",0.1,0.02744197426990713,0.9725580257300929,0.9957683685346944,1.0238652524482308,Hill dose-response with Bliss/synergy-derived maximum effect,pseudo_lab_model_inference
caffeoyl shikimate esterase,BAHD acyltransferase,early_vegetative,2-hydroxyethylphosphonate,"3,4-dihydroxybenzoate",0.3,0.1236803900163488,0.8763196099836512,0.9809281276599557,1.1193725628007527,Hill dose-response with Bliss/synergy-derived maximum effect,pseudo_lab_model_inference
caffeoyl shikimate esterase,BAHD acyltransferase,early_vegetative,2-hydroxyethylphosphonate,"3,4-dihydroxybenzoate",1.0,0.43370693924865417,0.5662930607513459,0.9331211408918725,1.6477707490426012,Hill dose-response with Bliss/synergy-derived maximum effect,pseudo_lab_model_inference
caffeoyl shikimate esterase,BAHD acyltransferase,early_vegetative,2-hydroxyethylphosphonate,"3,4-dihydroxybenzoate",3.0,0.732402303940206,0.267597696059794,0.8870614554137849,3.3149069236215447,Hill dose-response with Bliss/synergy-derived maximum effect,pseudo_lab_model_inference
